	Cont_1	Cont_2	SFN_1	SFN_2	NRF2KO-SFN_1	NRF2KO-SFN_2
LOC283585	0	0	0	0	0	0
LOC283683	0	0	0	0	0	0
LOC283710	0	0	0	0	0	0
LOC283731	0	0	0	0	0	1
LOC283856	0	0	0	0	0	0
LOC283922	142.43	111.95	93.83	49.43	70.48	97.72
LOC284009	0	0	1	0	0	4
LOC284023	26	10	24	38	25	21
LOC284080	16	21	11	8	13	10
LOC284294	0	0	0	0	0	0
LOC284344	18	4	16	13	7	11
LOC284379	0	0	0	0	0	0
LOC284395	0	0	0	0	0	0
LOC284412	100.68	68.53	50.28	43.73	47	50.83
LOC284454	593	489	652	482	464	417
LOC284578	0	0	0	0	0	0
LOC284581	79	77	60	54	56	44
LOC284632	0	0	0	0	0	0
LOC284648	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0
LOC284788	0	0	0	0	0	0
LOC284798	0	0	0	0	0	0
LOC284825	0	0	0	0	0	0
LOC284865	0	0	0	0	0	0
LOC284930	0	0	0	0	0	0
LOC284933	0	0	0	0	0	0
LOC284950	0	0	0	0	0	3
LOC285000	0	0	0	0	0	0
LOC285043	0	0	0	0	0	0
LOC285074	242.3	181.45	251.38	201.95	208.03	213.79
LOC285484	0	0	0	0	0	0
LOC285593	0	0	2	0	0	4
LOC285626	0	1	0	0	0	1
LOC285627	0	0	0	0	0	0
LOC285629	0	0	0	0	0	0
LOC285692	0	0	0	0	0	0
LOC285696	12	2	1	2	1	2
LOC285740	0	0	4	1	5	4
LOC285762	0	0	0	0	0	0
LOC285766	0	0	0	0	0	0
LOC285768	1	5	0	0	0	1
LOC285804	0	0	0	0	0	0
LOC285819	0	0	0	0	0	0
LOC285847	0	0	0	0	2	0
LOC285889	0	0	0	0	1	0
LOC286059	3	3	9	2	4	0
LOC286083	0	0	0	0	0	0
LOC286114	0	0	0	0	0	0
LOC286177	0	0	0	0	0	0
LOC286238	0	0	0	0	0	0
LOC286297	2	3	2.14	0	0	2
LOC286359	0	0	3	0	0	0
LOC286370	0	0	0	0	0	0
LOC286437	37	47	44	57	53	51
LOC338694	0	0	0	0	0	0
LOC338797	0	0	0	0	0	0
LOC338963	0	0	0	0	0	0
LOC339059	14	9	16	13	13	22
LOC339166	32	39	12	10	17	9
LOC339260	0	0	0	0	0	0
LOC339298	0	0	0	0	0	0
LOC339529	0	0	0	0	0	0
LOC339539	0	0	1	0	0	0
LOC339568	0	0	0	0	0	0
LOC339593	0	1	0	0	0	0
LOC339622	0	0	0	0	0	0
LOC339666	3	1	17	9	8	6
LOC339803	232	220	245	199	204	179
LOC339807	0	0	0	0	0	0
LOC339862	0	0	0	0	0	0
LOC339874	13	8	11	10	6	12
LOC339975	0	0	0	0	0	0
LOC340017	0	0	0	0	0	0
LOC340074	0	0	0	0	0	0
LOC340107	0	0	0	0	0	0
LOC340113	1	0	1	3	0	0
LOC340357	0	0	0	0	0	0
LOC340512	3	1	1	0	0	1
LOC341056	0	0	0	0	0	0
LOC343052	0	0	0	0	0	0
LOC344887	0	1	16	21	0	0
LOC344967	0	0	0	0	0	0
LOC349160	0	0	0	0	0	0
LOC374443	105	107	100	90	73	85
LOC375196	4.54	7.53	0	0	1.24	2.51
LOC387810	0	0	0	0	0	1
LOC388242	1	3.5	1.5	0.5	0	0.5
LOC388282	1	0	0	0	0	5
LOC388406	0	0	0	0	0	0
LOC388436	1.5	0.5	1	0	0	1
LOC388692	0	0	1	0	0	0
LOC388780	0	0	0	0	0	0
LOC388813	0	0	0	1	0	0
LOC388849	0	0	0	0	0	0
LOC388882	0	0	0	0	0	0
LOC388942	0	0	4	0	0	0
LOC389033	0	0	0	0	0	0
LOC389199	11.02	12.12	10.01	5	4.03	8.01
LOC389247	16	9	3	2	3	8
LOC389332	0	1	0	0	3	2
LOC389602	11	26	17	11	14	14
LOC389641	39	56	52	43	31	29
LOC389705	0	2	5	3	2	1
LOC389765	32	14	17	7	8	14
LOC389895	0	0	0	0	0	0
LOC389906	200	162	191	158	203	179
LOC390705	0	0	0	0	0	0
LOC391003	0	0	0	0	0	0
LOC391322	0	11	6	8	7	8
LOC392196	0	2	0	7	4	5
LOC392232	0	0	0	0	0	0
LOC392364	0	0	0	0	0	0
LOC392452	0	0	0	0	0	0
LOC399715	0	2	1	0	1	0
LOC399815	75	85	140	71	68	72
LOC399886	0	0	0	0	0	0
LOC400043	7	5	0	0	0	0
LOC400541	0	0	0	0	0	0
LOC400548	2	0	0	0	0	0
LOC400553	0	0	0	0	0	0
LOC400558	0	0	0	2	0	0
LOC400620	0	0	0	0	0	0
LOC400655	0	0	0	0	0	0
LOC400661	0	0	0	0	0	0
LOC400684	2	12	14	7	6	11
LOC400685	0	0	0	0	0	0
LOC400706	3	0	0	0	0	0
LOC400736	0	0	0	0	0	0
LOC400794	0	0	0	0	0	0
LOC400867	0	0	0	0	0	0
LOC400927	7	5.57	11.16	4.47	5	8
LOC400927-CSNK1E	23.61	42.47	72.33	56.51	38.88	9.95
LOC400940	0	0	0	0	0	0
LOC400958	0	0	0	0	0	0
LOC400997	0	0	1	0	0	0
LOC401010	0	1	0	0	0	0
LOC401052	7.12	11.97	5.4	8.67	5.71	3.41
LOC401127	6	0	6	5	4	4
LOC401134	3	1	1	0	0	0
LOC401177	0	0	0	0	0	0
LOC401242	0	0	0	0	0	0
LOC401286	0	0	0	0	0	0
LOC401312	0	0	0	0	0	0
LOC401320	44	36	64	34	33	28
LOC401324	0	0	0	0	0	0
LOC401357	0	0	0	0	0	0
LOC401463	0	0	0	0	0	0
LOC401557	0	0	0	0	0	0
LOC401585	1	0	0	0	0	0
LOC403312	0	0	0	0	0	0
LOC403323	8.32	1.12	10.34	0	3.61	6.37
LOC407835	0	0	1	0	4	0
LOC414300	0	4	4	4	5	8
LOC439933	0	0	0	0	0	0
LOC439994	67.75	87	114.99	89	111	116.75
LOC440028	15	12	18	13	9	5
LOC440040	0	0	0	0	0	0
LOC440117	0	0	0	0	0	0
LOC440173	6	22	9	4	6	5
LOC440300	102.06	141.95	120.3	97.54	76.5	87.61
LOC440311	0	0	0	0	0	0
LOC440390	0	0	0	0	0	0
LOC440434	269.5	265.92	275.26	281.3	256.02	264.96
LOC440446	0	0	0	0	0	0
LOC440461	3	0	1	0	0	1
LOC440600	4	0	0	3	0	0
LOC440602	0	0	0	0	0	0
LOC440700	0	1	0	2	0	1
LOC440704	0	0	0	0	0	0
LOC440895	5.97	1.1	8.18	4.22	0	2.64
LOC440896	1	0	0	0	1	1
LOC440910	0	0	0	0	0	0
LOC440982	0	0	0	0	0	0
LOC441025	0	0	0	0	0	0
LOC441081	38.33	45.23	25.69	15.64	33.79	33.09
LOC441155	1.01	10.07	4.01	4.9	3.02	10.1
LOC441178	0	0	0	0	0	0
LOC441204	0	0	0	0	0	0
LOC441242	18	23	17	18	15	15
LOC441454	15	8	10	7	15	11
LOC441455	0	0	0	0	0	0
LOC441601	0	0	0	0	0	0
LOC441666	0	0	0	0	0	0
LOC442028	0	0	0	0	0	0
LOC442132	0	0	0	0	0	0
LOC442497	2	3	2	0	3	0
LOC494127	0	0	0	0	0	0
LOC494141	0	0	0	0	0	0
LOC51145	0	0	0	0	0	0
LOC541472	8	2	11	7	1	2
LOC541473	5.54	0	0	0	0	10.72
LOC550113	0	0	0	0	0	0
LOC553103	2	2	1	4	1	0
LOC55338	0	0	0	0	1	1
LOC554206	3	24	12	15	10	4
LOC554223	0	0	0	0	0	0
LOC554249	85.34	48.25	36.5	36.74	48.71	0
LOC574538	0	0	2	0	0	0
LOC606724	0	4	2	0	2	1
LOC613037	254.49	202.89	328.11	213.85	262.82	267.32
LOC613038	1	3.5	1.5	0.5	0	0.5
LOC613266	0	8	0	0	0	0
LOC63930	0	0	0	0	0	0
LOC641367	3	9	2	5	2	3
LOC641746	7	5	2	2	2	2
LOC642236	0	0	0	0	0	0
LOC642361	36.91	30.16	48.58	34.4	50.45	63.54
LOC642366	1	4	2	3	2	1
LOC642423	18.22	0.88	20.79	12.83	19.06	29.39
LOC642426	0	0	0	0	0	0
LOC642776	0	0	0	0	0	0
LOC642846	220.58	184.61	185.9	143.37	126.85	174.29
LOC642852	2089	1891	1946	1661	1396	1465
LOC642929	0	0	0	0	0	0
LOC642943	0	0	0	0	0	0
LOC643072	10.77	11.13	40.77	34.6	29.93	32.7
LOC643201	2	5	6	4	10	11
LOC643339	0	0	0	0	0	0
LOC643355	0	0	0	0	0	0
LOC643387	0	0	0	0	0	0
LOC643406	0	0	0	0	0	0
LOC643441	0	0	0	0	0	0
LOC643542	0	0	0	0	0	2
LOC643623	0	0	0	0	0	0
LOC643711	0	0	0	0	0	0
LOC643733	0	0	0	0	0	0
LOC643770	0	0	0	0	1	2
LOC643802	0	0	0	0	0	0
LOC643923	0	0	0	0	0	0
LOC644070	0	0	0	0	0	0
LOC644145	0	0	0	0	0	0
LOC644172	0	0	3	0	0	0
LOC644189	0	0	0	0	1	0
LOC644285	27	38	15	13	22	9
LOC644554	0	0	0	0	0	0
LOC644656	43	41	41	15	32	38
LOC644669	0	0	0	0	0	0
LOC644762	0	0	0	0	0	0
LOC644838	0	0	1	0	1	0
LOC644919	0	0	0	0	0	0
LOC644936	0	0	0	0	0	0
LOC645166	108.62	65.57	88.25	66.15	42	53.45
LOC645354	0	0	0	1	0.5	0
LOC645382	0	0	0	0	0	0
LOC645434	0	0	0	0	0	0
LOC645513	91	73	61	88	78	59
LOC645752	0	0	1	0	1	0
LOC645949	0	2	0	0	0	0
LOC646029	0	0	5	2	3	5
LOC646214	1	0	3	0	0	3
LOC646268	0	0	0	2	0	1
LOC646471	73	78	127	75	73	79
LOC646522	0	0	0	0	0	0
LOC646626	0	3.25	10.45	3.08	1.04	4.26
LOC646736	0	0	0	0	0	0
LOC646743	0	0	0	0	0	0
LOC646762	289.34	261	390.74	313	343.55	349
LOC646813	0	0	0	0	0	0
LOC646903	66	76	54	48	54	42
LOC646938	0	0	0	0	0	0
LOC647323	2	0	0	0	0	0
LOC647859	10.8	7.1	1.95	2.19	3.06	10.84
LOC648987	106	100	100	74	90	83
LOC649133	0	0	0	0	0	0
LOC649324	0	0	0	1	0.5	0
LOC649352	1	0	0	0	0	0
LOC650226	0	0	0	0	0	0
LOC650293	0	0	0	0	0	0
LOC652276	450	420	581	534	454	425
LOC653160	22	16	32	19	16	15
LOC653513	14.49	5.7	9.82	10.88	5.13	2.17
LOC653602	0	0	0	0	0	0
LOC653653	0	5.28	2.14	1.11	6.77	4.21
LOC653712	2	3	3.06	12	6	11
LOC653786	0	1	3	2	0	0
LOC654342	91.38	77.43	76.75	32.85	34	34.55
LOC654841	5	6	2	11	3	5
LOC727751	6.04	33.67	14.76	28.03	15.4	23.1
LOC727896	1	4	6	3	9	2
LOC727924	0	0	0	0	0	0
LOC728024	67	51	42	48	43	42
LOC728040	0	0	0	0	0	0
LOC728084	0	0	0	0	1	1
LOC728095	0	0	0	0	0	0
LOC728175	0	0	1	0	0	0
LOC728323	15	27	18	15	18	20
LOC728392	183	162	143	90	196	175
LOC728485	2	1	0	1	0	0
LOC728554	399	353.15	370	323.75	335.37	319.77
LOC728613	34	52	22	37	22	19
LOC728673	32.76	19.08	14.56	5.88	11.21	15.45
LOC728730	54	28	20	20	39	21
LOC728739	0	0	0	1	0	0
LOC728743	55	71	89	61	66	72
LOC728752	18.64	16	21	13	33.77	12.86
LOC728989	6.4	6.06	2	5.11	2.03	0
LOC729080	0	0	0	0	0	0
LOC729083	0	1	6	0	1	0
LOC729159	0	0	0	0	0	0
LOC729218	464.25	503.92	664.62	508.24	533.35	451.36
LOC729296	0	0	0	0	0	0
LOC729348	0	3	2	0	0	1
LOC729506	0	0	0	0	0	0
LOC729603	127	150	331	245	159	151
LOC729609	0	0	0	0	2	0
LOC729658	0	0	0	0	0	0
LOC729683	75	90	74	73	74	78
LOC729732	24	19	20	15	22	16
LOC729737	9.8	13.62	20.46	11.93	22.09	23.97
LOC729739	0	0	0	0	0	0
LOC729867	32	31	46	66	46	27
LOC729930	0	0	0	0	0	0
LOC729950	0	0	0	0	0	0
LOC729966	0	0	0	0	0	0
LOC729970	19	9	6	7	10	8
LOC729987	36	36	29	36	39	25
LOC730101	1044	1073	525	423	313	276
LOC730102	73	61	48	39	27	38
LOC730159	0	0	0	0	0	0
LOC730183	11	16	18	10	19	25
LOC730202	7	0	9	1	6	5
LOC730668	2	5	1	1	4	3
LOC731157	6	0	0	0	0	0
LOC731424	0	0	0	0	1	0
LOC79160	14	6	4	3	4	16
LOC79999	1.5	0.5	1	0	0	1
LOC80078	0	0	0	0	0	0
LOC81691	189	187	166	156	139	151
LOC90246	39	41	55	55	92	64
LOC90768	421	479	471	366	334	321
LOC90784	235	249	447	309	290	288
LOC91450	9	10	5	5	7	4
LOC93622	174	179	152	129	122	116
LOH12CR1	80	118	115	85	73	95
LOH12CR2	20	5	15	13	6	15
LONP1	3289	3162	4216	3551	3389	3252
LONP2	1204	1392	1723	1357	1299	1208
LONRF1	106	98	138	101	99	94
LONRF2	10	11	4	0	3	5
LONRF3	12	7	6	4	2	2
LOR	0	0	0	0	0	0
LOX	6234	6297	11686	9981	3942	3398
LOXHD1	0	0	0	0	0	0
LOXL1	1422	1505	1974	1451	1762	1824
LOXL1-AS1	371	453	313	244	214	225
LOXL2	22346	21458	25482	19921	24234	24865
LOXL3	81.38	78.11	127.83	97.19	53.32	68.92
LOXL4	11	3	9	5	2	5
LPA	0	0	0	0	0	0
LPAL2	5	5	2	4	1	1
LPAR1	2179	2301	2556	2126	1953	1927
LPAR2	62	56	66	65	52	41
LPAR3	41	39	52	43	20	23
LPAR4	0	0	3	2	0	1
LPAR5	2	0	1	0	0	1
LPAR6	19	21	21	10	18	20
LPCAT1	1311	1317	1446	1122	943	917
LPCAT2	287	360	332	266	295	310
LPCAT3	649	594	587	495	577	576
LPCAT4	318	359	301	235	156	202
LPGAT1	1135	1148	1440	1152	1142	1127
LPIN1	898	824	1356	1146	877	981
LPIN2	510	444	560	458	408	405
LPIN3	239.8	177.61	114.85	83	69.85	90
LPL	0	2	3	0	0	0
LPO	0	0	0	0	0	0
LPP	3853	3779	4367	3852	3950	3714
LPP-AS1	0	0	0	0	0	0
LPP-AS2	60	62	76	44	60	67
LPPR1	0	0	0	0	0	0
LPPR2	1123	1096	1596	1338	1014	1025
LPPR3	16	33	31	14	14	14
LPPR4	0	0	0	0	0	0
LPPR5	0	0	0	1	0	0
LPXN	242	249	303	223	132	112
LRAT	0	0	0	0	0	0
LRBA	1506	1493	1565	1354	1290	1224
LRCH1	535	615	860	737	532	491
LRCH2	14	16	8	10	6	4
LRCH3	354	381	429	348	344	340
LRCH4	820	725	713	579	709	692
LRCOL1	0	0	0	0	0	0
LRFN1	0	1	3	6	0	1
LRFN2	0	0	0	0	0	0
LRFN3	217	212	286	231	261	257
LRFN4	709	756	935	701	749	766
LRFN5	0	0	0	0	0	0
LRG1	0	0	0	0	1	0
LRGUK	11	13	17	22	15	15
LRIF1	922	870	1340	1213	763	731
LRIG1	168	156	251	164	176	142
LRIG2	466	421	538	394	402	381
LRIG3	255	264	180	129	184	164
LRIT1	0	0	0	0	0	0
LRIT2	0	0	0	0	0	0
LRIT3	3	15	23	22	8	7
LRMP	0	1	5	1	0	1
LRP1	6662	7025	8439	7320	5939	5877
LRP1-AS	0	0	0	0	0	0
LRP10	4261	4626	7832	6273	4534	4381
LRP11	491.51	448.86	406.58	314	375.13	349.92
LRP12	510	468	565	537	397	377
LRP1B	2	5	5	3	1	2
LRP2	0	0	0	0	0	0
LRP2BP	64	59	53	48	57	57
LRP3	0	0	0	0	0	0
LRP4	377	330	343	279	323	347
LRP4-AS1	4	10	8	14	4	12
LRP5	605	661	906	716	793	900
LRP5L	85	142	164	116	139	118
LRP6	1498	1393	1668	1540	1364	1405
LRP8	616.9	559	769.67	599.7	394.85	442.9
LRPAP1	3008	2833	3432	2582	2817	2540
LRPPRC	5655	5917	5827	4829	4079	4019
LRR1	854	957	900	735	673	678
LRRC1	171	191	109	94	81	80
LRRC10	0	0	0	0	0	0
LRRC10B	0	0	0	0	0	0
LRRC14	1301.89	1226.83	1558.98	1189.74	1159.4	1103.03
LRRC14B	0	0	0	1	1	0
LRRC15	1	0	6	2	2	0
LRRC16A	408	356	248	176	178	171
LRRC16B	0	1	0	3	4	3
LRRC17	19	30	16	7	3	6
LRRC18	0	0	0	0	0	0
LRRC19	11	2	10	9	15	18
LRRC2	8	6	2	1	0	2
LRRC2-AS1	0	0	0	0	0	0
LRRC20	257	283	172	138	125	127
LRRC23	43	50	53	51	46	48
LRRC24	65.11	62.17	108.02	79.26	56.6	100.97
LRRC25	2	5	3	0	0	0
LRRC26	0	2	0	1	0	0
LRRC27	82	53	76	84	56	67
LRRC28	77	105	113	85	73	74
LRRC29	4	15	18	12	8	17
LRRC3	0	0	0	0	0	0
LRRC3-AS1	0	0	0	0	0	0
LRRC30	0	0	0	0	0	0
LRRC31	0	0	0	0	0	0
LRRC32	28	15	13	15	7	8
LRRC34	63	49	43	28	32	22
LRRC36	0	0	0	0	1	0
LRRC37A	74.31	87.7	86.72	76.49	86.39	64.84
LRRC37A11P	0	0	0	0	0	0
LRRC37A2	262.33	287.29	238.62	181.12	176.63	205.41
LRRC37A3	207.36	184.01	400.65	284.75	309.98	297.76
LRRC37A4P	597	557	495	426.65	496	490
LRRC37A5P	0	0	0	0	0	0
LRRC37A6P	29	14	14	14	17	13
LRRC37A8P	23	18	12	5	18	22
LRRC37B	75	70	81	64	71	66
LRRC37BP1	237	225	256	223	182	206
LRRC38	0	0	0	0	0	0
LRRC39	4.2	15.9	7.76	10.83	6.86	11.01
LRRC3B	0	0	0	0	0	0
LRRC3C	0	0	0	0	0	0
LRRC4	7	12	11	11	22	16
LRRC40	1077	1058	1089	868	805	773
LRRC41	1439	1362	2199	1772	1572	1499
LRRC42	1184	1160	1309	1041	850	868
LRRC43	0	0	0	0	1	1
LRRC45	764	736	448	359	482	447
LRRC46	25	31	31	21	24	28
LRRC47	1633	1537	1952	1543	1511	1439
LRRC48	10	3	8	15	11	12
LRRC49	201	194	217	210	163	137
LRRC4B	2	0	1	0	0	1
LRRC4C	0	0	0	0	0	0
LRRC52	0	0	0	0	0	0
LRRC55	0	0	0	0	0	0
LRRC56	28	19	19	16	21	26
LRRC57	487	430	394	333	326	316
LRRC58	2690	2907	2501	2132	1905	1771
LRRC59	9231.93	8780.36	11007.78	9079.74	7372.68	7461.6
LRRC6	20	12	20	7	9	16
LRRC61	33	46	45	29	28	36
LRRC63	12	4	1	2	2	5
LRRC66	6	2	32	24	7	12
LRRC69	0	2	0	0	0	0
LRRC7	34	39	29	18	16	26
LRRC70	2	7	13	10	8	8
LRRC71	1	0	3	3	1	1
LRRC72	0	0	0	0	0	0
LRRC73	5	6	13	5	6	3
LRRC74A	0	0	0	0	0	0
LRRC74B	0	0	1	3	2	0
LRRC75A	38	28	38	28	45	34
LRRC75A-AS1	6514	5704	6474	5516	5424	5359
LRRC75B	3	7	4	3	4	5
LRRC8A	1471	1403	2961	2369	1831	1671
LRRC8B	279	329	333	253	216	238
LRRC8C	709	734	785	709	561	561
LRRC8D	800	735	967	789	673	673
LRRC8E	834	945	1282	1021	796	774
LRRC9	0	0	0	0	0	0
LRRCC1	9	13	8	4	6	5
LRRD1	5	4	1	1	1	2
LRRFIP1	3132	3274	3864	3224	3262	3066
LRRFIP2	838	782	1072	848	687	676
LRRIQ1	60	101	65	76	81	68
LRRIQ3	31	9	3	13	7	15
LRRIQ4	0	2	0	0	0	0
LRRK1	659	653	656	578	579	635
LRRK2	29	62	42	44	52	69
LRRN1	144	135	65	57	93	93
LRRN2	0	0	10	0	1	3
LRRN3	3	0	0	0	3	1
LRRN4	48	61	31	19	25	25
LRRN4CL	0	5	8	3	2	1
LRRTM1	0	0	0	0	0	0
LRRTM2	31	18	17	17	18	15
LRRTM3	0	0	0	0	0	0
LRRTM4	0	0	0	0	0	0
LRSAM1	375	359	494	357	365	331
LRTM1	0	0	0	0	0	0
LRTM2	0	0	0	0	0	0
LRTOMT	117.35	120.78	107.83	91.96	102.54	105.26
LRWD1	790	702	962	736	670	702
LSAMP	2	8	3	0	2	1
LSAMP-AS1	0	0	0	0	0	0
LSG1	1861	1705	2237	1809	1499	1509
LSM1	1204	1060	1427	1147	843	835
LSM10	522	562	650	443	433	432
LSM11	425	414	557	462	401	359
LSM12	1901	1790	2014	1648	1595	1606
LSM14A	2791	2699	3103	2528	2300	2383
LSM14B	1918	1641	2406	2040	2014	1975
LSM2	1662	1615	1610	1152	1164	1107
LSM3	2015	1711	2042	1698	1462	1507
LSM4	3774	3703	5744	4293	4142	3953
LSM5	1044	939	1061	923	801	755
LSM6	252	278	211	180	242	264
LSM7	1672	1550	1790	1555	1575	1503
LSM8	863	807	959	687	667	649
LSMEM1	31	38	64	41	35	31
LSMEM2	2.14	4.21	4.28	3.23	6.49	3.33
LSP1	0	0	3	0	1	0
LSP1P3	0	0	0	0	0	0
LSR	28	10	13	11	9	16
LSS	1365	1349	1400	1051	1100	1138
LST1	0	0	1	2	0	0
LTA	3	1	4	13	1	4
LTA4H	1458	1490	1569	1405	1130	1135
LTB	0	2	3	0	2	1
LTB4R	697	730	656	466	485.06	488
LTB4R2	291	312	240.73	211	191.94	189
LTBP1	201	192	203	185	167	137
LTBP2	3382	3146	3774	3162	2641	2539
LTBP3	1419	1444	1925	1547	2061	2123
LTBP4	1552	1580	1911	1384	1474	1463
LTBR	2186	2327	3648	2894	2430	2390
LTC4S	0	0	0	0	1	0
LTF	0	0	1	1	0	1
LTK	4	0	5	1	0	1
LTN1	1497	1433	1896	1693	1346	1233
LTV1	1001	886	968	764	609	667
LUC7L	587	565	628	524	446	444
LUC7L2	2618	2545	2742	2114	2160	2295
LUC7L3	3523	3353	3710	3059	2449	2511
LUCAT1	2	0	17	4	8	8
LUM	0	0	0	1	0	0
LUNAR1	0	0	0	0	0	0
LURAP1	25	13	11	0	7.46	14
LURAP1L	72	121	75	60	16	26
LURAP1L-AS1	2	0	3	0	0	1
LUZP1	3264	3154	4829	4063	3414	3122
LUZP2	16	16	1	1	11	5
LUZP4	0	0	0	0	0	0
LUZP6	3566	3421.5	4679.5	3908	3079	2890.5
LVCAT1	0	0	0	0	0	0
LVCAT5	0	0	0	0	0	0
LVCAT8	0	0	3	5	1	1
LVRN	3	15	2	4	4	6
LXN	63	72	74	47	49	59
LY6D	0	0	0	0	0	0
LY6E	3771	3634	5626	4345	3854	3936
LY6G5B	102	81	141	102	69	87
LY6G5C	9	13	7	12	8	5
LY6G6C	1	0	3	0	1	0
LY6G6D	0	0	0	0	0	0
LY6G6E	0	0	0	0	0	0
LY6G6F	0	0	0	2	0	0
LY6H	0	0	0	0	0	0
LY6K	5636.44	5181.36	6702.57	5339.78	5459.45	5049.41
LY75	0	0	2	0	0	0
LY75-CD302	0	0	0	5	3.31	0
LY86	0	0	0	0	0	0
LY86-AS1	0	0	0	0	0	0
LY9	0	0	0	0	0	0
LY96	29	17	12	10	2	5
LYAR	1831	1659	1951	1628	1434	1355
LYG1	1	5	6	19	4	5
LYG2	0	2	0	0	0	0
LYL1	3	0	0	0	1	0
LYN	112	100	118	63	85	68
LYNX1	37	32	33	40	40	36
LYPD1	673.59	607.79	375.36	283.16	482.95	493.69
LYPD2	0	0	0	0	0	0
LYPD3	19	16	16	10	7	13
LYPD4	0	0	0	0	0	0
LYPD5	0	0	0	0	0	0
LYPD6	56	37	24	15	22	15
LYPD6B	2	0	0	0	0	0
LYPD8	0	0	0	0	0	0
LYPLA1	1194	1130	1323	996	772	770
LYPLA2	1425	1314	1698	1312	1091	1069
LYPLA2P2	0	3	1	3	2	0
LYPLAL1	338	263	350	302	185	188
LYPLAL1-AS1	14	11	14	0	7	10
LYRM1	263	243	390	261	239	216
LYRM2	918.95	866.91	908.91	764.68	688.68	656.82
LYRM4	667	652	962	728	772	722
LYRM5	191	221	265	235	161.47	176.53
LYRM7	706	725	654	644	591	588
LYRM9	11	16	24	14	21	14
LYSMD1	117	166	206	147	146	153
LYSMD2	4	6	6	4	3	2
LYSMD3	1253	1250	1433	1270	931	888
LYSMD4	199	146	191	141	115	136
LYST	1145	1080	1435	1347	1267	1144
LYVE1	0	0	0	0	1	0
LYZ	0	1	1	5	2	0
LYZL1	0	0	0	0	0	0
LYZL2	0	0	0	0	0	0
LYZL4	0	0	0	0	0	0
LYZL6	0	0	0	0	0	0
LZIC	250	242	315	231	178	194
LZTFL1	240	216	252	200	171	209
LZTR1	1489	1290	1725	1411	1192	1217
LZTS1	10	25	17	7	16	19
LZTS1-AS1	0	0	0	0	0	1
LZTS2	1350	1337	1986	1451	1366	1325
LZTS3	257	268	202	183	124	171
M1AP	6	10	11	6	2	1
M6PR	3171.41	3126.13	4206.63	3238.41	2570.95	2592.35
MAATS1	54	58	25	29	32	40
MAB21L1	23	20	11	3	8	11
MAB21L2	0	1	1	0	0	3
MAB21L3	1	0	0	0	0	0
MACC1	7	3	1	0	1	0
MACC1-AS1	0	0	0	0	0	0
MACF1	7970	8191	11941	10243	9935	9930
MACROD1	129	101	114	87	128	144
MACROD2	25	22	35	23	15	9
MACROD2-AS1	0	0	1	0	0	0
MACROD2-IT1	0	0	0	0	0	0
MAD1L1	594	557	667	516	591	600
MAD2L1	2911	2609	2914	2432	2129	2105
MAD2L1BP	551	556	638	447	449	377
MAD2L2	758	809	1090	1050	857	846
MADCAM1	0	0	1	5	2	4
MADD	1040	975	1142	926	1142	1116
MAEA	4768	4898	5910	4765	4459	4354
MAEL	0	0	0	0	0	0
MAF	0	0	0	0	0	0
MAF1	2403	2438	3672	2832	2738	2768
MAFA	3	6	2	0	5	2
MAFA-AS1	5	2	0	0	0	1
MAFB	0	0	0	0	0	0
MAFF	978	876	2437	2144	1328	972
MAFG	2423	2295	5066	4038	2291	2397
MAFG-AS1	84	70	121	63	73	85
MAFK	1319.33	1191.49	2151.86	1689.41	1509.97	1456.67
MAFTRR	0	0	0	0	0	0
MAG	0	0	6	0	2	1
MAGEA1	0	0	0	0	0	0
MAGEA10	0	0	0	0	0	0
MAGEA10-MAGEA5	0	0	0	0	0	0
MAGEA11	0	0	0	0	0	0
MAGEA12	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0
MAGEA3	0	0	0	0	0	0
MAGEA4	0	0	0	0	0	0
MAGEA5	4	0	0	0	0	0
MAGEA6	0	0	0	0	0	0
MAGEA8	0	0	0	0	0	0
MAGEA8-AS1	0	0	0	0	0	0
MAGEA9	0	1	0	0	0	0
MAGEA9B	0	0	0	0	0	0
MAGEB1	0	0	0	0	0	0
MAGEB10	0	0	0	0	0	0
MAGEB16	0	0	0	0	0	0
MAGEB17	2	2	3	1	3	2
MAGEB18	0	0	0	0	0	0
MAGEB2	0	0	0	0	0	0
MAGEB3	0	0	0	0	0	0
MAGEB4	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0
MAGEC1	0	0	0	0	0	1
MAGEC2	0	0	0	0	0	0
MAGEC3	3	4	0	1	1	0
MAGED1	5154	5073	6108	4764	4197	4221
MAGED2	1294	1444	1824	1318	1078	1054
MAGED4	220.88	107.36	160.54	84.58	7.59	32.52
MAGED4B	80.12	213.64	63.46	91.42	161.41	101.48
MAGEE1	181	118	132	94	101	99
MAGEE2	0	0	0	0	0	0
MAGEF1	1002	1036	845	677	591	548
MAGEH1	228	193	152	163	97	126
MAGEL2	0	0	0	0	0	0
MAGI1	275	284	293	259	229	235
MAGI1-AS1	0	0	0	0	0	0
MAGI2	80	65	86	85	93	82
MAGI2-AS2	0	0	0	0	0	0
MAGI2-AS3	1403	1540	1339	1054	876	839
