	Ctrl_1	Ctrl_2	SFN_1	SFN_2	NRF2KO-Cont_1	NRF2KO-Cont_2	NRF2KO-SFN_1	NRF2KO-SFN_2
OR2A4	1.09	0.72	0.38	0.64	0.68	0.64	0.65	0.77
OR2A42	0	0.27	0.31	0.52	0.44	0.38	0.22	0.15
OR2A5	0	0	0	0	0	0	0	0
OR2A7	0.15	0.98	0	0.15	0.74	0.53	0.15	0.76
OR2A9P	2	2.01	1.87	2.21	3.22	3.16	3.29	3.04
OR2AE1	0	0.26	0	0.12	0	0	0	0.42
OR2AG1	0	0	0	0	0	0.14	0	0
OR2AG2	0	0	0.1	0.13	0.14	0.15	0.14	0.14
OR2AK2	0	0	0	0	0.13	0	0	0
OR2AP1	0	0	0	0	0	0	0	0
OR2AT4	0	0	0	0	0	0	0	0
OR2B11	0	0	0	0	0	0	0	0
OR2B2	0	0	0	0	0	0	0	0
OR2B3	0	0	0	0	0	0	0	0
OR2B6	0	0.13	0.2	0	0.14	0.15	0.29	0.15
OR2C1	0	0	0	0	0	0	0.12	0
OR2C3	0	0	0.03	0	0	0	0	0
OR2D2	0	0	0	0	0.59	0.62	0	0
OR2D3	0	0	0.09	0	0	0	0	0
OR2F1	0	0	0	0	0	0	0	0
OR2F2	0	0	0	0	0	0	0	0
OR2G2	0	0	0	0	0	0	0	0
OR2G3	0	0	0	0	0	0	0	0
OR2G6	0	0	0	0	0	0	0	0
OR2H1	0	0	0	0	0	0	0	0
OR2H2	0	0	0.09	0	0.12	0	0	0
OR2J2	0	0	0	0	0	0	0	0
OR2J3	0	0	0	0	0	0	0	0
OR2K2	0	0	0	0	0	0.15	0	0.14
OR2L13	0	0	0	0	0	0	0	0
OR2L1P	0	0	0	0	0	0	0	0
OR2L2	0	0	0	0	0	0	0	0
OR2L3	0	0	0	0	0	0	0	0
OR2L5	0	0	0	0	0	0	0	0
OR2L8	0	0	0	0	0	0	0	0
OR2M1P	0	0	0	0	0	0	0	0
OR2M2	0	0	0	0	0	0	0	0
OR2M3	0	0	0	0	0	0	0	0
OR2M4	0	0	0	0	0	0	0	0
OR2M5	0	0	0	0	0	0	0	0
OR2M7	0	0	0	0	0	0	0	0
OR2S2	0	0	0	0	0	0	0	0
OR2T1	0	0	0	0	0	0	0	0
OR2T10	0	0	0	0	0	0	0	0
OR2T11	0	0	0.3	0	0	0	0	0
OR2T12	0	0	0	0	0	0	0	0
OR2T2	0	0	0	0	0	0	0	0
OR2T27	0	0	0	0	0	0	0	0
OR2T29	0	0	0	0	0	0	0	0
OR2T3	0	0	0	0	0	0	0	0
OR2T33	0.12	0	0.39	0.37	0.14	0.29	0	0.14
OR2T34	0	0	0	0	0	0	0	0
OR2T35	0	0	0	0	0	0	0	0
OR2T4	0	0	0	0	0	0	0	0
OR2T5	0	0	0	0	0	0	0	0
OR2T6	0	0	0	0	0	0	0	0
OR2T8	0	0	0	0	0	0.15	0.29	0
OR2V1	0	0	0	0	0	0	0	0
OR2V2	0	0	0	0	0	0	0	0
OR2W1	0	0	0	0	0	0	0	0
OR2W3	2.01	1.6	0.91	0.9	1.57	2.39	2.28	1.31
OR2W5	0	0	0	0	0	0	0	0
OR2Y1	0	0	0	0	0	0	0	0
OR2Z1	0	0	0	0	0	0	0	0
OR3A1	0	0.4	0.3	0.26	0.28	0	0	0.15
OR3A2	0.1	0.11	0.31	0	0	1.07	0.71	0
OR3A3	0.12	0	0.13	0.5	0	0.48	0.69	0.14
OR3A4P	0	0	0	0	0	0	0	0
OR4A15	0	0	0	0	0	0	0	0
OR4A16	0	0	0	0	0	0	0	0
OR4A47	0	0	0	0	0	0	0	0
OR4A5	0	0	0	0	0	0	0	0
OR4B1	0	0	0	0	0	0	0	0
OR4C11	0	0	0	0	0	0	0	0
OR4C12	0	0	0	0	0	0	0	0
OR4C13	0	0	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0	0	0
OR4C16	0	0	0	0	0	0	0	0
OR4C3	0	0	0	0	0	0	0	0
OR4C45	0	0	0	0	0	0	0	0
OR4C46	0	0	0	0	0	0	0	0
OR4C6	0	0	0	0	0	0	0	0
OR4D1	0	0	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0	0	0
OR4D2	0	0	0	0	0	0	0	0
OR4D5	0	0	0	0	0	0	0	0
OR4D6	0	0	0	0	0	0	0	0
OR4D9	0	0	0	0	0	0	0	0
OR4E2	0	0	0	0	0	0	0	0
OR4F13P	0.05	0.05	0	0	0	0.06	0	0
OR4F15	0	0	0	0	0	0	0.29	0
OR4F16	0	0.04	0	0.12	0	0	0	0.04
OR4F17	0	0	0	0	0	0	0.15	0.08
OR4F21	0	0.01	0	0.04	0.14	0	0	0.01
OR4F29	0	0.04	0	0.12	0	0	0	0.04
OR4F3	0	0.04	0	0.12	0	0	0	0.04
OR4F4	0.2	0	0	0	0	0	0.15	0.08
OR4F5	0.2	0	0	0	0	0	0	0
OR4F6	0	0	0	0	0	0	0	0
OR4K1	0	0	0	0	0	0	0	0
OR4K13	0	0	0	0	0	0	0	0
OR4K14	0	0	0	0	0	0	0	0
OR4K15	0	0	0	0	0	0	0	0
OR4K17	0	0	0	0	0	0	0	0
OR4K2	0	0	0	0	0	0	0	0
OR4K5	0	0	0	0	0	0	0	0
OR4L1	0	0	0	0	0	0	0	0
OR4M1	0	0	0	0	0	0	0	0
OR4M2	0	0	0	0	0	0	0	0
OR4N2	0.34	0.12	0	0.12	0	0	0.26	0
OR4N3P	0	0	0	0	0	0	0	0
OR4N4	0	0	0	0	0	0	0	0
OR4N5	0	0	0	0	0	0	0	0
OR4P4	0	0	0	0	0	0	0	0
OR4Q3	0	0	0	0	0	0	0	0
OR4S1	0	0	0	0	0	0	0	0
OR4S2	0	0	0	0	0	0	0	0
OR4X1	0	0	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0	0	0
OR51A2	0	0	0	0	0	0	0	0
OR51A4	0	0	0	0	0	0	0	0
OR51A7	0	0	0	0	0	0	0	0
OR51B2	0	0	0	0	0	0	0	0
OR51B4	0.13	0	0	0	0	0	0	0
OR51B5	0.16	1.1	0	0	0	0	0	0
OR51B6	0	0	0	0	0	0	0	0
OR51D1	0	0	0	0	0	0	0	0
OR51E1	0	0	0	0	0	0	0	0
OR51E2	0	0	0	0	0	0	0	0
OR51F1	0	0	0	0	0	0	0	0
OR51F2	0	0	0	0	0	0	0	0
OR51G1	0	0	0	0	0	0	0	0
OR51G2	0	0	0	0	0	0	0	0
OR51I1	0	0	0	0	0	0	0	0
OR51I2	0	0	0	0	0	0	0	0
OR51L1	0	0	0	0	0	0	0	0
OR51M1	0.11	0.23	0.09	0	0	0.26	0	0.25
OR51Q1	0	0	0	0	0	0	0	0
OR51S1	0	0	0	0	0	0	0	0
OR51T1	0	0	0	0	0	0	0	0
OR51V1	0	0	0	0	0	0	0	0
OR52A1	0	0	0	0	0	0	0	0
OR52A5	0	0	0	0	0	0	0	0
OR52B2	0	0	0.19	0	0	0	0	0
OR52B4	0	0	0	0	0	0	0	0
OR52B6	0	0	0	0	0	0	0.39	0.13
OR52D1	0	0	0	0	0	0	0	0
OR52E2	0	0	0	0	0	0	0	0
OR52E4	0	0	0	0	0	0	0	0
OR52E6	0	0	0	0	0	0	0	0
OR52E8	0	0	0	0	0	0	0	0
OR52H1	0	0.52	0	0	0	0	0	0.14
OR52I1	0	0	0	0	0	0	0	0
OR52I2	0	0	0	0	0	0	0	0
OR52J3	0	0	0	0	0	0	0	0
OR52K1	0	0	0	0	0	0	0	0
OR52K2	0	0	0	0	0	0	0	0
OR52L1	0	0	0	0	0	0	0	0
OR52M1	0	0	0	0	0	0	0	0
OR52N1	0	0	0	0	0	0	0	0
OR52N2	0	0	0	0	0	0	0	0
OR52N4	0	0	0	0	0	0	0	0
OR52N5	0	0	0	0	0	0	0	0
OR52R1	0	0	0	0	0	0	0	0
OR52W1	0	0	0	0	0	0	0	0
OR56A1	0	0	0	0	0	0	0	0
OR56A3	0	0	0	0	0	0	0	0
OR56A4	0	0	0	0	0	0	0	0
OR56A5	0	0	0	0	0	0	0	0
OR56B1	0	0	0	0	0	0	0	0
OR56B4	0	0.41	0	0	0	0	0	0
OR5A1	0	0	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0	0	0
OR5AK2	0	0	0	0	0	0	0	0
OR5AK4P	0	0	0	0	0	0	0	0
OR5AN1	0	0	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0	0	0
OR5AS1	0	0	0	0	0	0	0	0
OR5AU1	0	0	0	0	0	0	0	0
OR5B12	0	0	0	0	0	0	0	0
OR5B17	0	0	0	0	0	0	0	0
OR5B2	0	0	0	0	0	0	0	0
OR5B21	0	0	0	0	0	0	0	0
OR5B3	0	0	0	0	0	0	0	0
OR5C1	0	0	0	0	0	0	0	0
OR5D13	0	0	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0	0	0
OR5D16	0	0	0	0	0	0	0	0
OR5D18	0	0	0	0	0	0	0	0
OR5E1P	0	0	0	0	0.4	0	0	0
OR5F1	0	0	0	0	0	0	0	0
OR5H1	0	0	0	0	0	0	0	0
OR5H14	0	0	0	0	0	0	0	0
OR5H15	0	0	0	0	0	0	0	0
OR5H2	0	0	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0	0	0
OR5I1	0	0	0	0	0	0	0	0
OR5J2	0	0	0	0	0	0	0	0
OR5K1	0	0	0	0	0	0	0	0
OR5K2	0	0	0	0.13	0	0.15	0	0
OR5K3	0	0	0	0	0	0	0	0
OR5K4	0	0	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0	0	0
OR5M1	0	0	0	0	0	0	0	0
OR5M10	0	0	0	0	0	0	0	0
OR5M11	0	0	0	0	0	0	0	0
OR5M3	0	0	0	0	0	0	0	0
OR5M8	0	0	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0	0	0
OR5P2	0	0	0	0	0.41	0	0	0
OR5P3	0	0	0	0	0	0	0	0
OR5R1	0	0	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0	0	0
OR5V1	0	0	0	0	0	0	0	0
OR5W2	0	0	0	0	0	0	0	0
OR6A2	0.08	0	0	0	0	0.09	0.26	0.09
OR6B1	0	0	0	0	0	0	0	0
OR6B2	0	0	0	0	0	0	0	0
OR6B3	0	0	0	0	0	0	0	0
OR6C1	0	0	0	0	0	0	0	0
OR6C2	0	0	0	0	0	0	0	0
OR6C3	0	0	0	0	0	0	0	0
OR6C4	0	0	0	0	0	0	0	0
OR6C6	0	0	0	0	0	0	0	0
OR6C65	0	0	0	0	0	0	0	0
OR6C68	0	0	0	0	0	0	0	0
OR6C70	0	0	0	0	0	0	0	0
OR6C74	0	0	0	0	0	0	0	0
OR6C75	0	0	0	0	0	0	0	0
OR6C76	0	0	0	0	0	0	0	0
OR6F1	0	0	0	0	0	0	0	0
OR6K2	0	0	0	0	0	0	0	0
OR6K3	0	0	0	0	0	0	0	0
OR6K6	0	0	0	0	0	0	0	0
OR6M1	0	0	0	0	0	0	0	0
OR6N1	0	0	0	0	0	0	0	0
OR6N2	0	0	0	0	0	0	0	0
OR6P1	0	0	0	0	0	0	0	0
OR6Q1	0	0	0	0	0	0	0	0
OR6S1	0	0	0	0	0	0	0	0
OR6T1	0	0	0	0	0	0	0	0
OR6V1	0	0	0	0	0	0	0	0
OR6W1P	0	0	0	0	0	0	0	0
OR6X1	0	0	0	0	0	0	0	0
OR6Y1	0	0	0	0	0	0	0	0
OR7A10	0	0	0	0	0	0	0	0
OR7A17	0	0	0	0	0	0	0	0
OR7A5	0	0	0	0	0	0	0	0
OR7C1	0	0	0	0	0	0	0	0
OR7C2	0	0	0	0	0	0	0	0
OR7D2	0.03	0	0	0	0	0	0	0
OR7D4	0	0	0	0	0	0	0	0
OR7E12P	0	0	0	0	0.1	0	0	0
OR7E14P	3.41	2.52	1.59	1.44	2.69	3.39	2.57	4.08
OR7E156P	0	0	0	0	0.04	0	0	0
OR7E24	0	0	0	0	0	0	0	0
OR7E2P	0	0	0	0.11	0.25	0	0	0.13
OR7E37P	0	0	0	0	0	0	0	0
OR7E47P	0	0.12	0.09	0.12	0.13	0.14	0	0
OR7E5P	0	0	0	0	0	0	0	0
OR7E91P	0	0	0	0	0	0	0	0
OR7G1	0	0	0	0	0	0	0	0
OR7G2	0	0	0	0	0	0	0	0
OR7G3	0	0	0	0	0	0	0	0
OR8A1	0	0	0	0	0	0	0	0
OR8B12	0	0	0	0	0	0	0	0
OR8B2	0	0	0	0	0	0	0	0
OR8B3	0	0	0	0	0	0	0	0
OR8B4	0	0	0	0	0	0	0	0
OR8B8	0	0	0	0	0	0	0	0
OR8D1	0.26	0	0	0	0	0	0	0
OR8D2	0	0	0	0	0	0	0	0
OR8D4	0	0	0	0	0	0	0	0
OR8G1	0	0	0	0	0	0	0	0
OR8G2	0	0	0	0	0	0	0	0
OR8G5	0	0	0	0	0	0	0	0
OR8H1	0	0	0	0	0	0	0	0
OR8H2	0	0	0	0	0	0	0	0
OR8H3	0	0	0	0	0	0	0	0
OR8I2	0	0	0	0	0	0	0	0
OR8J1	0	0	0	0	0	0	0	0
OR8J3	0.13	0	0	0	0	0	0	0.15
OR8K1	0	0	0	0	0	0	0	0
OR8K3	0	0	0	0	0	0	0	0
OR8K5	0	0	0	0	0	0	0	0
OR8S1	0	0	0	0	0	0	0	0
OR8U1	0	0	0	0	0	0	0	0
OR8U8	0	0	0	0	0	0	0	0
OR9A2	0	0	0	0	0	0	0	0
OR9A4	0	0	0	0	0	0	0	0
OR9G1	0	0	0	0	0	0	0	0
OR9G4	0	0	0	0	0	0	0	0
OR9G9	0	0	0	0	0	0	0	0
OR9I1	0	0	0	0	0	0	0	0
OR9K2	0	0	0	0	0	0	0	0
OR9Q1	0	0	0	0	0	0	0	0
OR9Q2	0	0	0	0	0	0	0	0
ORAI1	28.47	36.35	36.2	34.22	36	35.28	40.65	38.62
ORAI2	9.62	10.46	7.52	7.88	12.16	11.4	10.87	10.85
ORAI3	7.58	7.02	5.5	6.06	9.19	9.37	9.49	8.55
ORAOV1	19.36	20.33	22.33	24.14	21.77	22.13	23.67	22.12
ORC1	18.76	18.96	9.47	9.47	21.14	21.3	11.1	12.39
ORC2	28.79	30.5	20.77	18.16	27.32	26.83	22.09	21.85
ORC3	32.35	37.77	29.23	31.44	28.36	29.64	24.96	27.74
ORC4	10.22	11.91	9.82	11.52	9.87	9.26	8.96	9.99
ORC5	28.11	29.66	19.68	20.33	22.3	23.69	19.94	19.3
ORC6	70.69	71.43	70.26	75.99	55.31	58.64	62.52	63.03
ORM1	0	0	0	0	0	0	0	0
ORM2	0	0	0	0	0	0	0	0
ORMDL1	34.43	37.16	28.68	25.51	32.15	28.9	26.27	25.86
ORMDL2	38.42	34.82	37.79	34.12	28.14	27.99	31.27	33.42
ORMDL3	72.8	70.08	71.06	67.96	68.73	69.31	60.59	70.19
OS9	124.96	129.21	143.81	154.65	136.65	137.76	144.64	147.1
OSBP	36.26	39.47	41.15	41.7	36.44	35.46	38.77	39.45
OSBP2	3.13	2.86	2.43	2.65	3.29	2.76	2.25	1.92
OSBPL10	1.98	3.02	1.43	2.02	1.45	1.52	1.31	1.28
OSBPL10-AS1	0	0	0	0	0	0	0	0
OSBPL11	16.38	17.65	14.8	16.41	18.63	18.35	16.91	16.95
OSBPL1A	15.68	16.22	14.28	15.05	14.64	14.25	12.48	14.89
OSBPL2	21.38	22.37	22.52	26.3	22.04	23.97	23.94	23.13
OSBPL3	18.33	18.56	13.06	13.37	16.6	16.55	13.51	12.05
OSBPL5	3.7	3.58	3.04	3.56	5.67	5.84	5.01	4.84
OSBPL6	3.26	2.87	3.24	2.7	2.67	2.37	2.35	2.56
OSBPL7	5.09	5.28	3.1	3.3	5.33	5.38	3.16	3.71
OSBPL8	33.14	33.58	31.35	34.92	32	33.28	33.02	33.75
OSBPL9	42.52	44.22	33.28	33.27	39.17	37.44	33.97	34.24
OSCAR	0	0	0	0	0.15	0	0	0
OSCP1	6.6	5.34	6.38	7.98	6.18	6.66	6.27	6.84
OSER1	47.5	45.56	49.4	52.84	46.32	44.83	45.82	49.76
OSER1-AS1	2.58	2.46	2.16	2.23	2.65	3.32	1.24	2.68
OSGEP	45.7	47.96	45.86	44.07	41.89	45.04	43.48	44.2
OSGEPL1	7.55	8.3	3.94	4.14	5.74	5.41	5.02	4.55
OSGEPL1-AS1	0.79	0.7	0.96	1.35	0.3	0.31	0.15	0.31
OSGIN1	7.36	8.71	32.18	31.99	4.6	4.61	5.09	6.63
OSGIN2	5.1	6.85	6.86	6.42	5.63	4.53	5.55	6.03
OSM	0	0	0	0	0	0.06	0.06	0
OSMR	33.88	34.73	38.69	41.19	36.52	35.69	36.23	37.53
OSMR-AS1	0	0	0	0	0	0	0	0
OSR1	2.52	2.73	0.56	1.18	1.93	1.72	1.51	0.96
OSR2	3.82	3.64	4.25	3.82	4.81	6.34	4.87	5.85
OST4	622.56	556.68	609.31	661.81	534.52	546.6	589.66	541.14
OSTC	240.07	216.31	237.55	241.62	184.72	196.87	200.38	208.68
OSTCP1	0	0	0	0	0	0	0	0
OSTF1	60.47	58.73	60.5	61.96	46.19	45.5	44.77	38.88
OSTM1	19.11	20.29	20.21	19.53	13.74	14.67	17.42	16.49
OSTN	0	0	0	0	0	0	0	0
OTC	0	0	0	0	0	0	0	0
OTOA	0	0	0	0	0.03	0	0	0.12
OTOF	0.09	0.08	0.04	0.07	0	0.04	0.02	0.13
OTOG	0	0	0	0	0	0.02	0	0.01
OTOGL	0.11	0.15	0.12	0.08	0.05	0.05	0.11	0.11
OTOL1	0	0	0	0	0	0	0	0
OTOP1	0	0	0	0	0	0	0.18	0
OTOP2	0.09	0	0	0	0	0	0	0
OTOP3	0	0	0	0	0	0	0	0
OTOR	0	0	0	0	0	0	0	0
OTOS	0	0	0	0	0	0	0	0
OTP	0	0.04	0	0.03	0	0	0	0.04
OTUB1	91.82	99.49	89.15	98.29	110.35	108.01	101.69	99.95
OTUB2	0.81	1.05	0.93	0.71	0.97	0.99	0.83	1.18
OTUD1	5.27	6.61	3.5	4	7.42	7.25	6.88	6.44
OTUD3	13.19	13.14	11.2	12.14	12.41	13.3	11.72	11.77
OTUD4	30.77	30.62	25.65	28.44	28.89	31.81	27.76	26.78
OTUD5	46.27	49.35	54.29	55.23	52.66	49.94	56.59	54.93
OTUD6A	0	0	0	0	0	0	0	0
OTUD6B	10.7	11.08	8.38	8.17	9.07	9.53	8.59	8.35
OTUD6B-AS1	16.8	15.04	9.58	12.1	11.31	9.83	11.44	10.41
OTUD7A	0.06	0	0.02	0.09	0.2	0.07	0.1	0.03
OTUD7B	13.32	14.35	12.99	13.6	14.99	14.26	14.4	15.01
OTULIN	10.11	11.37	12.21	12.82	10.13	10.37	13.12	12.19
OTX1	0.39	0.65	0.25	0.09	0.8	0.87	0.69	0.36
OTX2	0	0	0	0	0	0	0	0
OTX2-AS1	0	0	0	0	0	0	0	0
OVAAL	0	0	0	0	0	0	0	0
OVCA2	42.11	44.42	48.79	44.04	45.17	47.06	47.23	46.04
OVCH1	0	0	0	0	0	0	0	0
OVCH1-AS1	0	0	0.19	0	0	0	0	0
OVCH2	0	0	0.14	0.06	0.26	0.07	0	0
OVGP1	1.06	0.54	1.35	1.43	0.62	0.51	1.58	0.79
OVOL1	0	0.03	0	0	0.1	0	0.03	0.07
OVOL1-AS1	0	0	0	0	0	0	0	0
OVOL2	0	0	0	0	0	0	0	0
OVOL3	0	0	0	0	0	0.29	0	0
OXA1L	141.47	136.82	132.02	118.46	140.72	136.92	118.27	128.49
OXCT1	36.9	38.34	28.96	30.91	32.01	30.18	28.81	28.72
OXCT1-AS1	0	0.24	0.23	0	0.26	0	0	0.07
OXCT2	0.7	0.23	0.21	0.05	0.37	0.32	0.24	0.25
OXER1	0	0	0.13	0	0.19	0	0	0.07
OXGR1	0	0	0	0	0	0	0	0
OXLD1	40.23	41.07	30.16	30.63	36.48	40.36	36.25	37
OXNAD1	7.22	8.17	7.01	7.44	7.89	6.56	7.34	7.92
OXR1	7.91	9.45	6.56	8.1	8.99	9.8	7.71	6.96
OXSM	18.21	17.31	13.35	17.66	14.46	16.55	13.12	15.24
OXSR1	26.11	28.65	26.59	27.51	26.68	26.8	26.64	28.5
OXT	0	0	0	0	0	0	0	0
OXTR	247.4	259.76	188.41	197.63	305.98	318.88	297.09	282.79
P2RX1	0	0	0	0	0	0	0	0
P2RX2	0.19	0.07	0.2	0.3	0.4	0.45	0.39	0.22
P2RX3	0	0	0	0	0	0	0	0
P2RX4	6.32	6.74	3.95	4.04	6.33	5.47	4.46	3.73
P2RX5	3.03	2.17	1.84	1.86	2.36	3.18	2.14	2.29
P2RX5-TAX1BP3	0.68	1.01	0.68	1.06	1.29	0.91	0.77	0.84
P2RX6	0.49	0.41	0.43	0.17	0.83	0.79	0.54	0.4
P2RX6P	0	0	0	0	0	0	0	0
P2RX7	0	0	0	0	0.03	0	0	0
P2RY1	0	0.09	0.02	0	0	0	0	0
P2RY10	0	0	0	0	0	0	0	0
P2RY11	15.93	13.91	17.61	18.07	15.91	18.56	19.88	17.75
P2RY12	0.21	0	0	0	0	0	0	0
P2RY13	0	0	0	0	0	0	0	0
P2RY14	0	0	0	0	0	0	0	0
P2RY2	0.34	0.26	0.08	0.08	0.36	0.35	0.15	0.13
P2RY4	0.12	0	0.05	0.06	0.07	0	0.07	0
P2RY6	1.19	2.33	0.49	0.69	2.13	2.92	0.83	0.96
P2RY8	0.02	0	0	0	0	0	0	0
P3H1	50.13	49.82	47.25	47.82	50.28	52.06	49.5	46.37
P3H2	45.88	44.98	41.48	40.03	43.8	44.69	40.17	40.46
P3H2-AS1	0	0	0	0.19	0	0.22	0	0
P3H3	28.92	30.17	26.44	23.94	31.81	35.61	30.87	29.79
P3H4	20.27	21.41	15.15	15.86	22.12	24.28	19.06	18.96
P4HA1	36.11	33.16	34.81	37.19	31.3	30.85	32.01	32.02
P4HA2	42.05	41.51	50.83	52.67	29.69	31.29	35.24	36.05
P4HA2-AS1	3.31	3.21	1.84	2.48	1.54	1.61	1.02	2.27
P4HA3	0.29	0.53	0.61	0.2	0.42	0.64	0.7	0.48
P4HB	804.95	820.05	891.19	872.58	810.65	819.87	854.3	868.58
P4HTM	7.12	8.7	7.62	8.26	11.48	9.99	8.89	11.17
PA2G4	291.41	297.84	263.85	255.01	280.13	278.71	272.3	264.47
PA2G4P4	0.97	1.17	0.63	0.3	0.92	0.92	0.53	0.9
PAAF1	30.59	30.4	35.29	33.53	25.44	23.14	27.57	29.97
PABPC1	288.5	304.79	271.05	266.28	316.4	313.49	298.65	297.75
PABPC1L	19.46	17.86	11.85	14.8	19.79	17.83	12.79	13.63
PABPC1L2A	0	0	0	0	0	0	0	0
PABPC1L2B	0	0	0	0	0	0	0	0
PABPC1L2B-AS1	0	0	0	0	0	0	0	0
PABPC1P2	0	0	0	0	0	0	0	0
PABPC3	0	0	0.06	0.04	0.04	0.05	0.04	0
PABPC4	135.57	137.37	124.78	124.77	139.24	135.04	139.44	137.13
PABPC4L	0.6	1.28	0.69	0.35	0.65	0.98	0.52	0.62
PABPC5	0	0	0	0	0	0	0	0
PABPC5-AS1	0	0	0	0	0	0	0	0
PABPN1	77.86	68.39	57.4	71.44	92.79	100.92	79.63	82.88
PABPN1L	0	0	0	0	0	0	0	0
PACERR	0.82	0	0	0	0.37	0	0	0.19
PACRG	0	0.07	0.21	0.38	0.15	0.31	0.22	0.23
PACRG-AS1	0	0.05	0	0	0.05	0	0	0
PACRGL	21.83	23.51	13.68	14.15	22.67	21.13	15.45	14.21
PACS1	28.41	34.19	35.06	35.36	40.28	39.8	41.63	41.29
PACS2	5.17	5.34	5.16	4.65	7.36	7.54	5.9	6.25
PACSIN1	0.02	0	0	0.02	0	0	0.02	0
PACSIN2	57.74	54.76	53.58	55.9	60.01	59.54	56.84	57.66
PACSIN3	47.16	56.02	37.46	37.79	64.78	68.2	43.9	48.2
PADI1	2.51	4.09	3.31	3.08	5.78	5.9	5.02	4.19
PADI2	2.19	2.37	1.38	1.82	4.15	3.23	2.2	1.98
PADI3	0.29	0.36	0.44	0.25	0.87	0.89	0.19	0.3
PADI4	0	0.18	0.03	0	0	0	0	0
PADI6	0	0	0	0	0	0	0	0
PAEP	0	0	0	0	0	0	0	0
PAF1	71.08	69.74	63.7	63.02	78.51	81.79	66.97	71.08
PAFAH1B1	71.38	78.66	64.14	67.83	66.38	71.71	69.39	72.19
PAFAH1B2	71.85	66.31	63.75	67.55	81.3	74.4	71.36	76.87
PAFAH1B3	59.65	63.14	47.45	45.6	67.77	78.85	55.86	59.28
PAFAH2	6.26	6.6	7.16	7.9	6.76	6.46	8.29	6.63
PAG1	0.33	0.39	0.16	0.16	0.12	0.15	0.09	0.05
PAGE1	0	0	0	0	0	0	0	0
PAGE2	0	0	0	0	0	0	0	0
PAGE2B	0	0	0	0	0	0	0	0
PAGE3	0	0	0	0	0	0	0	0
PAGE4	0	0	0	0	0	0	0	0
PAGE5	0	0	0	0	0	0	0	0
PAGR1	22.23	25.33	15.64	15.19	25.85	28.18	22.62	23.73
PAH	0	0	0	0	0	0	0	0
PAICS	228.42	238.79	184.57	186.1	215.02	217.72	200.21	204.65
PAIP1	51.56	56.2	49.47	52.18	58.01	57.24	49.3	54.66
PAIP2	91.75	86.6	82.39	84.61	102.13	108.27	88.83	92.93
PAIP2B	1.54	1.87	1.29	1.49	2.31	2.06	2.13	2
PAK1	23.04	22.56	24.43	21.11	23.92	23.87	19.94	21.37
PAK1IP1	59.18	56.77	41.49	39.02	41.89	45.21	37.94	41.23
PAK2	61.55	70.21	62.37	66.22	63.43	63.59	66.77	67.25
PAK3	3.86	3.24	2.76	2.6	3.43	3.89	2.8	2.81
PAK4	37.25	37.75	45.26	47.84	54.35	60.07	59.66	59.61
PAK6	0	0.07	0.07	0.11	0.08	0.04	0.11	0.09
PAK7	0	0.02	0	0	0	0	0	0
PALB2	14.12	14.56	12.22	12.14	14.11	13.03	12.07	13.58
PALD1	0	0.08	0.03	0.04	0.02	0.02	0.02	0.02
PALLD	31.07	35.49	24.87	22.18	27.51	26.38	19.66	20.57
PALM	7.05	8.51	6.52	5.35	9.52	8.11	6.9	5.39
PALM2	0	0	0	0.01	0	0	0	0
PALM2-AKAP2	0.57	0	0	0	0.11	0	0.12	0.12
PALM3	0	0.04	0	0.08	0	0	0	0
PALMD	0.14	0.04	0	0.11	0	0.09	0	0.04
PAM	39.42	38.48	38.93	37.16	32.06	30.88	32.09	31.09
PAM16	71.81	61.84	67.38	64.67	48.04	63.05	68.46	53.96
PAMR1	0	0.06	0.05	0	0.07	0	0.04	0
PAN2	4.2	5.91	5.05	5.62	7.77	6.81	7.36	6.69
PAN3	15.07	15.06	13.87	14.63	16.45	16.41	17.1	16.94
PAN3-AS1	2	1.81	1.9	2.12	2.45	3.05	2.51	2.57
PANDAR	0	0	0	0.14	0.15	0.08	0	0
PANK1	1.29	2.39	0.92	0.8	2	1.46	1.3	1.43
PANK2	51.24	54.19	47.63	54.14	46.84	52.55	44.69	44.14
PANK3	33.41	33.41	26.5	28.59	32.65	34.49	28.56	29.87
PANK4	26.96	32.46	22.35	22.21	35.47	36.28	25.6	25.31
PANO1	2.27	0.94	2.71	1.97	2.46	2.42	2.7	2.01
PANX1	16.58	17.75	14.07	15.65	18.9	15.92	13.83	14
PANX2	3.95	4.09	6.67	6	0.89	1.15	1.49	1.67
PANX3	0	0	0	0	0	0	0	0
