	day0-WT_1	day0-WT_2	day1-WT_1	day1-WT_2	day0-KO_1	day0-KO_2	day1-KO_1	day1-KO_2
Mdfi	14.2	15.22	11.26	13.46	11.79	13.53	13.68	14.64
Mdfic	140.72	121.02	101.55	102.47	147.34	139.59	102.21	114.25
Mdga1	6.15	6.13	6.56	6.14	6.41	5.88	5.8	6.56
Mdga2	0.03	0.13	0.21	0.12	0.17	0.1	0.13	0.11
Mdh1	108.46	103.88	214.4	223.11	100.59	95.79	207.59	209.05
Mdh1b	0	0	0	0	0	0	0	0.07
Mdh2	336.29	345.55	345.16	349.57	369.64	369.36	343.25	338.15
Mdk	56.44	64.26	56.9	56.51	47.64	58.93	58.83	53.16
Mdm1	5.1	4.93	6.38	6.59	4.36	4.54	5.86	6.18
Mdm2	63.86	52.21	71.38	69.13	69.25	66.51	64.35	73.68
Mdm4	38.32	35.16	40.88	36.77	37.06	33.56	33.92	36.99
Mdn1	9.42	7.1	9.29	7.28	10.56	9.46	6.85	7.7
Mdp1	39.95	45.51	35.86	40.14	37.71	36.01	36.8	35.75
Me1	99.06	86.56	54.39	52.92	78.23	76.97	47.22	50.61
Me2	43.32	40.53	27.41	25.33	49.73	47	23.69	26.73
Me3	0.77	0.81	0.28	0.17	0.87	0.71	0.33	0.22
Mea1	107.68	116.85	64.07	64.17	106.01	108.88	69.6	60.81
Meaf6	24.44	24.5	25.29	24.91	26.65	24.45	24.71	22.44
Mecom	1.85	1.07	0.7	0.52	2.09	2.14	0.78	0.7
Mecp2	14.75	14.17	19.1	16.49	16.7	14.62	16.33	18.97
Mecr	31.61	29.84	34.89	32.47	31.44	31.14	32.16	37.2
Med1	32.9	33.65	50.78	45.97	41.84	37.76	42.18	47.09
Med10	94.13	92.92	82.51	83.98	93.96	102.47	84.35	84.43
Med11	27.26	30.04	12.26	12.73	21.56	20.92	12.21	12.21
Med12	16.14	15.35	16.56	15.12	21.23	16.74	13.52	16.33
Med12l	0.17	0.16	0.26	0.29	0.3	0.17	0.42	0.28
Med13	21.3	17.62	25.95	22.75	23.69	20.57	21.4	23.97
Med13l	27.2	24.31	42.61	36.92	29.14	24.02	34.08	38.51
Med14	20.32	16.19	15.58	13.91	27.2	23.84	13.89	15.63
Med15	37.02	35.9	43.43	39.41	52.13	49.31	37.88	42.82
Med16	27.65	27.28	17.77	17.67	29.91	27.19	16.5	18.68
Med17	15.74	15.48	16.71	17.29	17.11	17.92	17.4	17.57
Med18	6.36	6.96	9.24	7.66	9.28	9.12	7.09	8.37
Med19	21.2	21.99	17.86	20.18	24.32	22.19	18.83	16.98
Med20	30.46	25.51	31.72	30.38	27.7	27.19	32.11	29.2
Med21	60.36	67.05	58.67	57.93	71.68	76.25	63.52	61.97
Med22	35.69	32.17	43.68	44.33	36.26	35.83	38.88	39.68
Med23	15.73	13.14	15.44	14.53	17.87	16.85	14.31	14.68
Med24	26.6	27.59	24.97	24.37	28.44	26.9	25.5	25.44
Med25	31.46	34.37	48.22	40.91	40.84	41.51	43.34	47.37
Med26	8.65	7.41	13.03	12.26	9.76	8.25	10.82	11.68
Med27	20.28	22.36	25.6	25.63	24.61	27.3	22.96	23.22
Med28	20.35	23.88	15.14	15.81	23.74	22.95	17.65	16.96
Med29	11.77	16.55	14.41	14.67	15.88	16.15	14.4	12.92
Med30	40.94	45.8	24.32	30.67	40.57	41.26	32.93	30.53
Med31	10.93	8.96	13.37	16.44	13.02	13.1	17.36	14.76
Med4	32.11	30.56	31.23	32.37	36	35.44	37.85	31.96
Med6	40.63	40.18	44.54	42.18	47.49	45.57	44.33	43.05
Med7	20.35	18.82	20.97	23.94	20.48	19.36	22.35	22.28
Med8	42.54	49.07	38.59	42.26	43.34	43.08	37.38	37.91
Med9	10.92	12.16	13.8	13.51	15.78	15.16	15.22	13.7
Med9os	0.94	0.95	0.53	1.05	0.26	1.34	1.33	0.53
Medag	48.68	47.31	256.51	249.78	80.8	78.01	276.24	297.79
Mef2a	29.37	26.49	22.57	21.86	37.2	33.72	24.73	28.54
Mef2b	0	0	0.1	0	0.09	0	0.24	0
Mef2c	5.76	5.66	5.45	5.38	6.9	5.95	7.38	7.97
Mef2d	39.91	32.24	37.15	30.14	43.46	40.33	29.63	37.59
Mefv	0.04	0	0	0	0.04	0.04	0	0
Meg3	80.2	106.08	45.63	48.28	64.2	54.49	40.83	43.46
Megf10	2.03	1.59	0.65	0.46	2.83	2.41	2.18	2.24
Megf11	0.51	0.51	0.19	0.27	0.76	0.71	0.35	0.29
Megf6	1.7	1.35	0.11	0.19	1.08	0.86	0.46	0.39
Megf8	38.08	34.28	49.53	44.71	28.33	26.92	45.16	46.15
Megf9	17.42	12.47	40.9	33.91	16.54	15.08	32.64	35.5
Mei1	0	0	0	0	0	0	0.03	0
Mei4	0.07	0.07	0.16	0	0.12	0.08	0.13	0.12
Meig1	0	0	0	0	0.19	0	0	0
Meikin	0	0	0	0	0	0.09	0	0
Meiob	0.33	0.13	0.07	0.07	0.07	0.37	0.12	0
Meis1	9.33	8.63	12.3	11.63	9.14	7.99	9.67	9.97
Meis2	10.46	11.04	14.57	15.92	12.78	11.72	15.32	15.76
Meis3	20.79	22.61	14.19	14.12	21.57	19.68	13.59	11.93
Melk	19.46	18.15	16.24	16.03	26.39	23.8	17.42	17.77
Memo1	84.73	87.1	72.15	71.45	103	99.13	75.71	75.87
Men1	33.27	28.71	39.16	41.38	31.91	31.34	37.44	36.74
Meox1	1.41	2.33	0.17	0.39	2.58	2.68	0.57	0.39
Meox2	8.21	7.95	5.51	5.45	9.01	8.35	4.64	5.01
Mep1a	0	0	0	0	0.04	0.04	0	0
Mep1b	0	0	0	0	0	0	0	0
Mepce	28.08	29.46	34.65	36.97	26.59	25.68	33.69	36.94
Mepe	0	0	0	0	0	0	0	0
Mertk	2.03	1.96	7.54	6.47	3.63	2.55	9.39	10.81
Mesdc1	46.99	44.43	21.92	23.13	38.43	41.08	23.74	22.55
Mesdc2	64.13	62.65	69	68.59	58.11	57.71	62.35	65.81
Mesp1	0	0.22	0.12	0	0	0.49	0.5	0.48
Mesp2	0.06	0.06	0	0	0.06	0	0	0
Mest	5.51	4.32	2.95	2.83	10.35	8.35	3.28	3.21
Met	4.44	3.64	2.05	1.65	4.56	4.42	2.58	2.61
Metap1	54.68	52.6	54.77	50.09	52.81	52.94	56.38	56.22
Metap1d	15.4	20.84	20.02	21.53	18.78	15.21	21.3	20.53
Metap2	87.91	90.76	74.31	77.68	89.41	88.84	75.46	77.79
Methig1	0	0.09	0.1	0	0	0	0	0.1
Metrn	41.13	48.73	30.64	34.22	33.26	37.22	31.36	33.2
Metrnl	107.1	105.36	17.7	16.58	106.02	113.43	21.25	19.22
Mettl1	49.77	53.16	24.14	21.41	37.9	39.25	20.28	22.71
Mettl10	30.07	27.32	25.93	26.39	28.85	37.15	25.76	21.99
Mettl11b	0	0	0	0	0	0	0	0
Mettl13	16.75	14.12	20.08	20.45	16.52	14.79	16.95	18.09
Mettl14	15.15	12.78	7.79	6.73	15.01	15.42	7.96	8.22
Mettl15	3.13	2.15	3.31	3.54	5.35	5.56	3.76	3.76
Mettl16	31.7	29.98	25.23	26.2	32.38	30.53	23.35	24.34
Mettl17	10.46	9.58	9.09	10.54	8.54	8.8	9.15	10.06
Mettl18	3.88	4.38	3.22	2.76	3.98	4.58	2.54	3.55
Mettl2	13.16	13.15	13.29	12.27	14.96	13.06	12.01	12.81
Mettl20	8.58	9.25	15.34	13.51	8.87	9.3	15.81	14.69
Mettl21a	17.1	15.63	16.86	18.35	16.81	16.77	17.49	15.49
Mettl21b	7.39	6.24	4.43	5.34	8.25	6.04	6.11	5.37
Mettl21c	0	0	0	0	0	0	0	0
Mettl21e	0	0	0	0	0	0	0	0
Mettl22	9.79	8.39	4.86	5.39	7.94	9.83	6.09	4.35
Mettl23	30.25	28.06	30.44	35.46	19.67	24.36	39.8	32.54
Mettl24	1.03	1.04	0.17	0.41	1.21	1.34	0.41	0.16
Mettl25	8.57	5.79	3.8	4.79	5.31	4.83	4.45	4.33
Mettl3	33.27	30.13	26.14	25.32	29.96	30.68	26.6	24.33
Mettl4	13.13	8.76	13.16	12.92	12.75	12.14	12.11	11.03
Mettl5	16.14	18.36	16.94	18.9	15.88	18.53	22.4	18.31
Mettl6	23.56	20.58	22.88	25.98	23.22	23.28	24.71	24.68
Mettl7a1	21.24	20.94	34.87	34.99	16.31	14.47	29.29	31.73
Mettl7a2	0	0	0	0	0	0	0	0
Mettl7a3	0.08	0	0	0	0.09	0	0	0
Mettl7b	0	0.09	0.63	0.72	0.1	0.11	1.31	1.56
Mettl8	9.01	9.33	11.62	12.81	9.02	10.03	11.2	12.21
Mettl9	158.87	146.14	172.78	182.61	150.28	147.46	176.71	174.68
Mex3a	10.18	9.43	6.53	6.99	11.21	10.5	6.18	6.15
Mex3b	14.61	13.48	15.56	15.84	16.51	16.5	14.02	15.67
Mex3c	39.65	33.22	33.75	36.01	40.9	40.7	33.73	38.02
Mex3d	31.89	29.12	20	18.65	33.81	36.48	18.35	19.5
Mfap1a	23.95	23.96	35.7	35.94	29.86	26.45	31.48	35.94
Mfap1b	65.44	65.82	80.42	80	67.78	62.42	73.28	74.57
Mfap2	76.78	74.94	44.04	43.73	49.37	56.77	37.08	34.79
Mfap3	20.49	19.53	25.23	24.65	25.26	23.74	23.09	25.84
Mfap3l	1.72	1.82	2.09	2.2	2.43	2.09	2.9	2.53
Mfap4	18.05	19.57	13.3	13.67	25.4	24.71	14.95	14.33
Mfap5	453.33	550.37	158.79	159.55	634.16	634.12	202.29	191.9
Mff	72.15	73.11	69.1	69.09	91.76	80.5	66.46	68.59
Mfge8	388.62	394.58	278.63	283.8	300.71	298.61	259.95	267.71
Mfhas1	18.4	16.13	13.78	13.59	19.61	18.6	12.15	14.15
Mfi2	0.03	0.05	0	0	0.03	0	0	0.03
Mfn1	30.68	28.28	27.07	27.09	27.36	25.3	26.23	27.83
Mfn2	50.42	46.68	33.64	32.16	44.26	45.03	32.8	30.65
Mfng	1.28	2.15	1.03	0.75	2.33	2.77	1.09	0.89
Mfrp	0.35	0.49	0.27	0.12	0.75	0.77	0.2	0.35
Mfsd1	125.28	107.37	106.21	107.43	131.28	122.14	106.56	111.39
Mfsd10	48.37	52.95	59.2	63.59	58.4	52.1	59.76	56.34
Mfsd11	31.73	31.19	42.26	38.98	34.31	34.47	40.47	42.35
Mfsd12	18.99	15.77	17.6	15.01	17.56	14.29	13.03	16.2
Mfsd2a	2.27	2.45	2.67	3.45	2.43	2.76	2.81	3.18
Mfsd2b	0.14	0.07	0.12	0.31	0.08	0.12	0.16	0.08
Mfsd3	7.67	6.98	12.88	13.77	6.15	4.94	14.33	14.34
Mfsd4	7.48	6.22	6.89	6.21	6.34	5.9	5.53	6.13
Mfsd5	100.12	96.75	77.81	78.76	103.3	113.08	74.5	77.03
Mfsd6	4.43	4.74	2.2	2.51	5.9	5.76	3.65	3.27
Mfsd6l	0	0	0	0	0	0.06	0	0
Mfsd7a	3.57	4.49	3.07	2.94	2.31	2.05	2.64	2.95
Mfsd7b	5.11	5.24	8.46	8.32	9.51	8.93	8.22	8.78
Mfsd7c	2.24	2.93	1.9	1.95	1.67	2.28	1.35	1.57
Mfsd8	7.17	7.71	15.12	14.22	10.31	6.99	13.88	15.06
Mfsd9	3.17	3.66	3.09	2.67	3.31	3.2	2.61	3.19
Mga	17.48	14.88	22.64	20.47	18.95	17.14	20.1	21.99
Mgam	0.4	0.51	0.04	0.07	0.68	0.53	0.14	0.07
Mgarp	8.66	11.13	5.77	7.06	13.5	10.56	8.09	7.89
Mgat1	130.02	119.77	81.34	85.61	113.78	117.64	85.84	81.74
Mgat2	108.67	95.18	137.73	138.39	111.37	105.91	131.78	137.82
Mgat3	13.18	13.59	15.73	14.62	15.51	16.07	14.12	15.06
Mgat4a	2.36	2.36	1.71	2.06	3.04	2.58	1.75	2.45
Mgat4b	99.44	97.36	71.32	72.59	98.03	97.67	70.31	73.69
Mgat4c	0	0	0	0.03	0	0	0	0
Mgat4d	0	0	0	0	0	0	0	0
Mgat4e	0.06	0.12	0	0.07	0.07	0.07	0.06	0
Mgat5	6.06	3.93	6.16	4.21	6.57	6.07	4.61	5.58
Mgat5b	0.03	0.08	0.06	0	0	0	0	0
Mgea5	74.96	60.69	71.07	69.74	64.15	60.84	67.48	78.54
Mgl2	0.31	0.24	0.1	0	0.17	0	0.16	0.18
Mgll	4.43	5.35	24.75	23.4	5.93	6.12	27.16	30.36
Mgme1	5.92	5.78	8.06	8	7.84	7.45	7.55	9.54
Mgmt	22.91	25.15	10.34	10.4	16.67	15.04	8.5	8.37
Mgp	23.92	32.19	37.62	50.2	21.65	20.65	49.61	39.05
Mgrn1	44.78	41.15	38.29	37.65	48.76	46.48	37.41	38.9
Mgst1	224.18	218.5	592.2	621.52	238.47	239.08	533.64	545.26
Mgst2	3.75	1.68	7.48	7.87	2.96	2.37	4.69	5.82
Mgst3	8.8	9.85	12.88	13.18	8.56	11.29	10.22	10.26
Mhrt	0	0.12	0	0	0	0	0	0
Mia	0.65	0.44	0	0.48	0.24	0.25	0.41	0.24
Mia2	0.14	0	0.08	0	0.08	0	0.13	0.08
Mia3	93.3	84.82	145.23	132.2	98.96	91.61	123.12	138.81
Miat	0.26	0.28	0.06	0.21	0.09	0.14	0.08	0.14
Mib1	40.46	25.63	42.02	35.23	37.35	31.53	34.87	36.29
Mib2	20.74	22.15	19.92	18.77	18.22	17.77	18.32	18.71
Mical1	42.21	42.62	15.98	15.38	41.9	38.8	16.11	16.9
Mical2	66.27	58.6	20.65	18.71	92.46	86.94	19.53	22.67
Mical3	12.39	9.99	15.87	11.94	10.95	9.67	11.48	12.61
Micalcl	0.79	1.12	0.36	0.15	1.21	1.15	0.43	0.36
Micall1	27.75	24.65	40.53	38.34	25.35	23.42	35.61	36.43
Micall2	18.76	18.27	8.21	8.56	22.55	21.21	7.8	8.13
Micu1	88.57	90.9	54.35	54.7	76.27	76.24	55.24	59.59
Micu2	87.16	82.19	42.97	44.46	81.3	72.59	43.43	47.92
Micu3	6.32	5.73	5.69	6.53	6.86	7.32	5.13	6.12
Mid1	29.59	32.96	35.35	33.85	31.77	32.18	28.96	35.55
Mid1ip1	64.61	62.26	36.79	32.76	68.75	68.54	40.77	40.14
Mid2	10.82	9.05	9.13	8.2	12.73	11.63	8.05	9.44
Midn	86.89	86.38	67.8	62.2	80.16	77.93	62.66	65.35
Mief1	16.27	15.95	18.16	16.67	17.81	16.84	18.23	18.03
Mief2	13.33	10.31	8.26	9.45	9.43	9.45	8.83	9.4
Mien1	90.36	95.07	71.53	76.7	60.15	56.35	78.04	75.32
Mier1	27.81	26	30.21	30.87	31.74	28.48	29.79	32.5
Mier2	17.38	17.28	21.24	19.07	19.16	19.28	17.94	20.04
Mier3	13.96	11.93	13.28	12.17	15.1	12.85	11.34	12.16
Mif	994.81	1251.3	739.62	720.45	1255.62	1349.49	923.75	785.01
Mif4gd	27.49	24.81	22.37	21.95	23.14	22.59	17.05	20.01
Miip	14.5	17.06	23.68	26.67	15.22	14.63	27.35	24.19
Mill1	0	0	0	0	0.05	0	0.04	0.1
Mill2	5.79	6.93	1.8	2.14	4.1	4.74	1.91	1.49
Milr1	1.25	0.79	1.33	1.49	1.85	2.02	1.51	1.76
Mina	24.77	23.65	23.15	20.41	29.91	28.75	19.78	21.52
Mink1	12.97	13.29	16.13	14.94	14.13	14.79	15.05	16.86
Minos1	74.83	75.98	70.17	75.5	58.01	64.38	81.08	68.81
Minpp1	51.53	49.36	64.48	68.62	45.61	53.35	63.64	70.59
Mios	32.14	31.71	23.58	21.41	32.56	30.26	21.91	21.92
Miox	0	0.11	0	0	0	0.38	0	0
Mip	0.05	0.21	0.12	0.12	0.06	0	0.15	0.06
Mipep	12.52	8.68	11.2	11.3	11.7	11.8	11.25	12.8
Mipol1	6.09	5.6	15.69	12.11	8.33	6.31	12.64	12.91
Mir100	0	0	0	0	0	0	0	0
Mir101a	0	0	0	0	0	0	0	0
Mir101b	0	0	0	0	0	0	0	0
Mir101c	0	0	0	0	0	0	0	0
Mir103-1	0	0	0	0	0	0	0	0
Mir103-2	0	0	10.18	0	0	0	0	0
Mir105	0	0	0	0	0	0	0	0
Mir106a	0	0	0	0	0	0	0	0
Mir106b	0	0	0	0	0	0	0	0
Mir107	0	0	0	0	0	0	0	0
Mir10a	0	3.03	0	0	0	3.4	0	3.34
Mir10b	0	0	0	0	0	0	0	0
Mir1187	0	0	0	0	0	0	0	0
Mir1188	0	0	0	0	0	0	0	0
Mir1190	0	0	0	0	0	0	0	0
Mir1191	0	0	0	0	0	0	0	0
Mir1191b	0	0	0	0	0	0	0	0
Mir1192	0	0	2.57	2.55	0	0	2.15	2.56
Mir1193	0	0	0	0	0	0	0	0
Mir1195	0	0	0	0	0	0	0	0
Mir1197	0	0	0	0	0	0	0	0
Mir1198	0	0	0	0	0	0	0	0
Mir1199	0	0	0	0	0	0	0	0
Mir122	0	0	0	0	0	0	0	0
Mir1224	0	0	0	0	0	0	0	0
Mir1231	0	0	0	0	0	0	0	0
Mir1247	13.72	0	0	0	0	15.58	0	0
Mir1249	0	0	5.05	0	0	0	0	0
Mir124a-1	0	0	0	0	0	0	0	0
Mir124a-1hg	0	0.03	0	0	0	0	0	0
Mir124a-2	0	0	0	0	0	0	0	0
Mir124a-3	0	0	0	0	0	0	0	0
Mir1251	0	0	0	0	0	0	0	0
Mir1258	0	0	0	0	0	0	0	0
Mir125a	0	0	0	0	0	0	0	0
Mir125b-1	0	0	0	0	0	0	0	0
Mir125b-2	0	0	0	0	0	0	0	0
Mir1264	0	0	0	0	0	0	0	0
Mir126a	0	0	0	0	0	0	0	0
Mir126b	0	0	0	0	0	0	0	0
Mir127	0	0	0	0	0	0	0	0
Mir128-1	0	0	0	0	0	0	0	0
Mir128-2	0	0	0	0	0	0	0	0
Mir129-1	0	0	0	0	0	0	0	0
Mir129-2	0	0	0	0	0	0	0	0
Mir1291	2.51	7.59	2.81	5.57	0	0	0	2.8
Mir1298	0	0	0	0	0	0	0	0
Mir129b	0	0	0	0	0	0	0	0
Mir1306	0	4.56	0	0	24.89	0	0	4.94
Mir130a	0	0	0	0	0	0	0	0
Mir130b	0	0	0	0	0	0	0	0
Mir130c	0	0	65.37	86.46	47.24	0	119.49	50.01
Mir132	0	0	0	0	0	0	0	0
Mir133a-1	0	0	0	0	0	0	0	0
Mir133a-2	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	1.26	0
Mir133c	0	0	0	0	0	0	0	0
Mir134	0	0	0	0	0	0	0	0
Mir135a-1	0	0	0	0	0	0	0	0
Mir135a-2	0	0	0	0	0	0	0	0
Mir135b	0	0	0	0	0	0	0	0
Mir136	0	0	0	0	0	0	0	0
Mir137	0	0	0	0	0	0	0	0
Mir138-1	0	0	0	0	0	0	0	0
Mir138-2	0	0	0	0	0	0	0	0
Mir139	0	0	0	0	0	0	0	0
Mir140	0	0	0	0	0	0	0	0
Mir141	0	0	0	0	0	0	0	0
Mir142	0	0	0	0	0	0	0	0
Mir142b	0	0	0	0	0	0	2.46	5.87
Mir143	0	0	0	0	0	0	0	0
Mir143hg	6.78	8.02	7.7	6.23	7.3	7.69	4.55	4.86
Mir144	0	0	0	0	0	0	0	0
Mir145a	0	0	0	0	0	0	0	0
Mir145b	0	0	0	0	0	0	0	0
Mir146	0	0	0	0	0	0	0	0
Mir146b	0	0	0	0	0	0	0	0
Mir147	0	12.73	23.39	0	0	0	0	0
Mir148a	0	0	0	0	0	0	0	0
Mir148b	0	0	0	0	0	0	0	0
Mir149	0	0	0	0	0	0	0	0
Mir150	0	0	0	0	0	0	0	0
Mir151	0	0	0	0	0	0	0	0
Mir152	0	0	0	0	0	0	0	0
Mir153	0	0	0	0	0	0	0	0
Mir154	0	0	0	0	0	0	0	0
Mir155	0	0	0	0	0	0	0	0
Mir155hg	3.34	1.28	17.82	20.56	4.24	3.58	15.22	16.83
Mir15a	0	0	0	0	0	0	0	0
Mir15b	0	0	0	0	0	0	0	0
Mir16-1	0	0	0	0	0	0	0	0
Mir16-2	0	0	0	0	0	0	0	0
Mir1668	3.27	3.3	0	3.63	0	3.71	0	0
Mir17	0	0	0	0	0	0	0	0
Mir17hg	3.6	3.83	3.14	3.37	4.4	4.46	2.89	3.86
Mir18	0	0	0	0	0	0	0	0
Mir181a-1	0	0	0	0	0	0	0	0
Mir181a-2	0	0	0	0	0	0	0	0
Mir181b-1	0	0	0	0	0	0	0	0
Mir181b-2	0	0	0	0	0	0	0	0
Mir181c	0	0	0	0	0	0	0	0
Mir181d	0	0	0	0	0	0	0	0
Mir182	0	0	0	0	0	0	0	0
Mir183	0	0	0	0	0	0	0	0
Mir1839	0	0	0	0	0	0	0	0
Mir184	0	0	0	0	0	0	0	0
Mir1843a	0	0	0	0	0	0	0	0
Mir1843b	0	0	0	0	0	0	0	0
Mir185	0	0	0	0	0	0	0	0
Mir186	0	0	0	0	0	0	0	0
Mir187	0	0	0	0	0	0	0	0
Mir188	0	0	0	0	0	0	0	0
Mir1892	102.78	0	25.61	114.22	41.23	0	74.97	38.33
Mir1893	22.31	0	0	13.5	0	0	0	0
Mir1894	0	0	17.64	0	0	17.86	0	0
Mir1895	0	0	0	0	0	0	0	0
Mir1896	0	0	0	0	0	0	0	2.93
Mir1897	0	0	0	0	0	0	0	0
Mir1898	0	0	0	0	0	0	0	0
Mir1899	0	0	0	0	0	0	0	0
Mir18b	0	0	0	0	0	0	0	0
Mir1900	0	0	0	0	0	0	0	0
Mir1901	0	0	0	0	0	0	0	0
Mir1902	22.25	56.66	0	0	0	0	0	0
Mir1903	0	0	0	0	0	0	0	0
Mir1904	0	0	0	0	0	0	0	0
Mir1905	0	4.21	24.09	8.09	33.99	4.83	45.11	24.34
Mir1906-1	13.02	32.74	4.1	0	0	9.33	0	9.85
Mir1906-2	13.02	32.74	4.1	0	0	9.33	0	9.85
Mir1907	0	0	0	0	0	0	0	0
Mir190a	0	0	0	0	0	0	0	0
Mir190b	0	0	0	0	0	0	0	0
Mir191	0	0	0	0	0	0	0	0
Mir1912	0	0	0	0	0	0	0	0
Mir192	0	0	0	0	0	0	0	0
Mir1927	0	0	0	0	0	0	0	0
Mir1928	0	0	0	0	0	0	0	0
Mir1929	0	0	0	6.33	0	0	0	0
Mir1930	0	0	0	0	11.94	0	0	12.19
Mir1931	0	0	0	2.66	0	0	2.24	0
Mir1932	0	13.72	0	0	0	0	0	0
Mir1933	0	0	0	0	0	0	0	0
Mir1934	0	0	0	0	13.29	0	0	0
Mir1936	0	0	0	0	0	0	0	0
Mir1938	0	0	0	4.62	0	4.72	15.57	0
Mir193a	0	0	0	0	0	0	0	0
Mir193b	0	0	0	0	0	0	0	0
Mir194-1	0	0	0	0	0	0	0	0
Mir194-2	0	0	0	0	0	0	0	0
Mir1941	0	0	0	0	0	0	0	0
Mir1942	0	0	0	0	0	0	0	0
Mir1943	0	0	0	0	0	0	0	0
Mir1945	0	0	0	0	0	0	0	0
Mir1946a	0	0	0	0	0	0	0	0
Mir1946b	0	0	0	0	0	0	0	0
Mir1947	0	0	0	0	0	0	0	0
Mir1948	0	0	0	0	0	0	0	0
Mir1949	0	0	0	0	0	0	0	0
Mir1950	0	0	0	0	0	0	0	0
Mir1951	0	0	0	0	0	0	0	0
Mir1952	0	0	0	0	0	0	0	0
Mir1953	0	0	0	0	0	0	0	0
Mir1954	0	0	0	0	0	0	0	0
Mir1955	0	0	0	0	0	0	0	0
Mir1956	0	0	0	0	0	0	0	0
Mir1957a	0	0	0	0	0	0	0	0
Mir1957b	0	0	3.98	0	0	0	0	0
Mir1958	0	0	0	0	0	0	0	0
Mir195a	0	0	0	0	0	0	0	0
Mir195b	0	0	0	0	0	0	0	0
Mir1960	0	0	0	0	0	0	0	0
Mir1961	0	0	0	0	0	0	0	0
Mir1962	0	0	0	0	0	0	0	0
Mir1963	0	0	0	0	0	0	0	0
Mir1964	0	0	0	0	0	0	0	0
Mir1966	3.17	3.2	0	0	3.46	0	0	0
Mir1967	0	0	0	0	0	0	0	0
Mir1968	0	0	0	0	0	0	0	0
Mir1969	5.41	0	0	0	0	0	0	0
Mir196a-1	0	0	8.65	4.28	4.21	0	3.61	0
Mir196a-2	0	0	0	0	0	0	0	0
Mir196b	0	0	0	0	0	0	0	0
Mir1970	0	0	0	0	0	0	0	0
Mir1971	0	0	0	0	0	0	0	0
Mir1981	0	0	0	0	0	0	0	0
Mir1982	0	0	0	0	0	0	0	0
Mir1983	0	1.87	0	0	0	0	0	0
Mir199a-1	0	0	0	0	0	0	0	0
Mir199a-2	0	0	0	0	0	0	0	0
Mir199b	0	0	0	0	0	0	0	0
Mir19a	0	0	0	0	0	0	0	0
Mir19b-1	0	0	0	0	0	0	0	0
Mir19b-2	0	0	0	0	0	0	0	0
Mir1a-1	0	0	0	0	0	0	0	0
Mir1a-2	0	0	0	0	0	0	0	0
Mir1b	0	0	0	0	0	0	0	0
Mir200a	0	0	0	0	0	0	0	0
Mir200b	0	0	0	0	0	0	0	0
Mir200c	0	0	0	0	0	0	0	0
Mir201	0	0	0	0	0	0	0	0
Mir202	0	0	0	0	0	0	0	0
Mir203	0	0	0	0	0	0	0	0
Mir204	0	0	0	0	0	0	0	0
Mir205	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0
Mir207	0	0	0	0	0	0	0	0
Mir208a	0	0	0	0	0	0	0	0
Mir208b	0	0	0	0	0	0	0	0
Mir20a	0	0	3.67	0	0	0	0	0
Mir20b	0	0	0	0	0	0	0	0
Mir210	0	0	0	0	0	0	0	0
Mir211	0	0	0	0	0	0	0	0
Mir212	0	0	0	0	0	0	0	0
Mir2136	0	0	0	0	0	0	0	0
Mir2137	0	0	0	0	0	0	0	0
Mir2139	0	0	0	0	0	0	0	0
Mir214	24.22	3.58	0	0	12.5	0	4.42	5.32
Mir215	0	5.89	0	0	3.18	0	0	0
Mir216a	0	0	0	0	0	0	0	0
Mir216b	0	0	0	0	0	0	0	0
Mir216c	0	0	0	0	0	0	0	0
Mir217	0	0	0	0	0	0	0	0
Mir218-1	0	0	0	0	0	0	0	0
Mir218-2	0	0	3.36	0	0	0	0	3.34
Mir219a-1	0	0	0	0	0	0	0	0
Mir219a-2	0	0	0	0	0	0	0	0
Mir219b	0	0	0	0	0	0	0	0
Mir219c	0	0	0	0	0	0	0	0
Mir21a	0	0	0	0	0	0	0	0
Mir21b	0	0	0	0	0	0	0	0
Mir21c	0	0	0	0	0	0	0	0
Mir22	0	0	0	0	0	0	0	0
Mir221	0	0	0	0	0	0	0	0
Mir222	0	0	0	0	0	0	0	0
Mir223	0	0	0	0	0	0	0	0
Mir224	0	0	0	0	0	0	0	0
Mir22hg	60.01	66.06	69.8	71.8	58.5	61.17	62.75	69.49
Mir23a	0	0	0	0	0	0	0	0
Mir23b	0	0	0	0	0	0	0	0
Mir24-1	0	0	0	0	0	0	0	0
Mir24-2	0	3.3	7.33	0	7.14	0	3.06	0
Mir25	0	0	0	0	0	0	0	0
Mir26a-1	0	0	0	0	0	0	0	0
Mir26a-2	0	0	0	0	0	0	0	0
Mir26b	9.92	0	0	0	0	0	0	0
Mir27a	0	0	9.39	0	0	0	0	0
Mir27b	0	0	0	0	0	0	0	0
Mir2861	13.72	27.8	0	0	0	0	0	0
Mir28a	0	0	0	0	0	0	0	0
Mir28b	0	0	0	0	0	0	0	0
Mir28c	0	0	0	0	0	0	0	0
Mir290a	0	0	0	0	0	0	0	0
Mir290b	0	0	0	0	0	0	0	0
Mir291a	0	0	0	0	0	0	0	0
Mir291b	0	0	0	0	0	0	0	0
Mir292	0	0	0	0	0	0	0	0
Mir292b	0	0	0	0	0	0	0	0
