	day0_1	day0_2	day1_1	day1_2	day5_1	day5_2
Hacd3	845	761	1615	1665	961	1151
Hacd4	559	508	208	218	138	170
Hace1	355	320	249	269	155	209
Hacl1	209	196	331	325	562	704
Hadh	842	778	1005	1010	8751	10490
Hadha	2453	2476	2304	2129	19841	24063
Hadhb	1321	1292	1477	1524	17302	20843
Hagh	194	207	443	435	945	1265
Haghl	260.37	314.61	251.71	278.42	115.34	107.15
Haglr	2	2	2	2	2	1
Hal	1	2	0	1	8	9
Halr1	0	0	0	0	0	0
Hamp	0	0	1	1	1	0
Hamp2	0	0	0	1	0	0
Hand1	0	0	0	0	0	0
Hand2	32	28	242	264	23	15
Hao1	0	0	0	1	0	0
Hao2	0	0	0	0	0	0
Hap1	18	18	7	4	1	2
Hapln1	0	3	0	0	3	1
Hapln2	0	0	2	1	0	0
Hapln3	5	4	0	1	4	1
Hapln4	104	119	493	472	15	21
Harbi1	139	157	231	217	174	213
Hars	2001	1852	1464	1411	946	1083
Hars2	534	488	394	449	696	817
Has1	37	21	114	105	4	4
Has2	1211.91	838	275	261.89	41.78	56.83
Has2os	1.09	0	1	3.11	1.22	1.17
Has3	25	19	12	16	19	11
Hat1	954	764	607	656	259	350
Haus1	397	359	231	233	143	136
Haus2	375.65	299.87	396.07	376	321.18	394.18
Haus3	492.95	464.99	389.94	409.83	440.96	513.7
Haus4	632	624	251	249	187	178
Haus5	293	275	198	187	71	84
Haus6	675	527	454	404	149	151
Haus7	733	760	244	223	188	224
Haus8	486	503	199	228	79	114
Havcr1	0	0	0	0	0	0
Havcr2	36	34	25	21	37	42
Hax1	1614	1485	1053	1079	927	1037
Hba-a1	0	0	0	0	0	0
Hba-a2	0	0	0	0	0	0
Hba-x	0	0	0	0	0	0
Hbb-b1	0	0	0	0	0	0
Hbb-b2	0	0	0	0	0	0
Hbb-bh1	0	0	0	0	0	0
Hbb-bh2	0	0	0	0	0	0
Hbb-bs	0	0	0	0	0	0
Hbb-bt	0	0	0	0	0	0
Hbb-y	0	0	0	0	0	0
Hbegf	224	222	63	67	15	19
Hbp1	2014.59	1756.14	2025.21	2002.46	2411.6	3087.29
Hbq1a	0	0	0	0	0	0
Hbq1b	0	0	0	0	0	0
Hbs1l	1831.65	1733.23	1490.65	1483.83	1435.47	1350.45
Hc	41	30	38	28	67	71
Hcar1	3	4	32	28	305	403
Hcar2	1	2	5	5	137	176
Hccs	897	779	645	697	1002	1245
Hcfc1	3371	3085	3433	3025	1637	1880
Hcfc1r1	853.09	886.83	451.85	425.22	1283.24	1374.89
Hcfc2	433	382	380	321	397	434
Hck	48	49	8	12	34	22
Hcls1	115	125	56	59	131	142
Hcn1	2	1	0	0	1	0
Hcn2	98	84	135	140	197	169
Hcn3	9	6	5	5	1	7
Hcn4	20	15	15	17	12	26
Hcrt	0	0	1	0	1	0
Hcrtr1	0	0	0	2	0	0
Hcrtr2	0	0	0	0	0	0
Hcst	1	0	0	2	0	2
Hdac1	2767	2426	2389	2411	1421	1895
Hdac10	267	241	196	237	175	210
Hdac11	135	131	78	93	62	87
Hdac2	3040	2593	1916	2029	1245	1376
Hdac3	1063	1018	1150	1138	982	1141
Hdac4	482	467	380	364	211	208
Hdac5	1849	1800	884	862	1296	1501
Hdac6	514	446	361	327	264	308
Hdac7	3092	2866	2690	2531	1693	1695
Hdac8	230	214	286	249	143	135
Hdac9	28	31	8	11	31	50
Hdc	2	5	3	8	2	1
Hddc2	210	219	187	165	218	240
Hddc3	54	75	74	55	90	121
Hdgf	10329	10579	4794	4896	3718	4076
Hdgfl1	0	0	0	0	0	0
Hdgfrp2	1481	1502	1210	1326	675	732
Hdgfrp3	720.44	649.51	604.01	576.47	206.71	273.55
Hdhd1a	0	0	0	0	0	0
Hdhd2	484	491	547	590	878	999
Hdhd3	46	40	38	41	125	146
Hdlbp	20759	19467	19639	18290	13083	15225
Hdx	45	42	56	59	17	10
Heatr1	1476	1189	1466	1411	515	597
Heatr3	1514	1365	1165	1201	660	774
Heatr5a	2839	2115	1437	1361	882	1066
Heatr5b	1119	896	1442	1364	1504	1976
Heatr6	592	503	662	630	352	439
Heatr9	1	0	0	0	0	0
Hebp1	202	205	230	224	762	912
Hebp2	303	342	71	88	89	106
Heca	549	504	512	468	551	534
Hectd1	5988	4694	6157	5522	5287	5591
Hectd2	134.34	121	181	186	88	83.61
Hectd3	787	731	577	539	1130	1224
Hecw1	0	0	1	0	1	0
Hecw2	158	117	91	90	96	95
Heg1	2967	2578	6927	5880	1222	1178
Helb	462	402	506	508	386	405
Hells	735	679	459	479	67	55
Helq	229	158	190	169	100	124
Helt	0	0	0	0	3	3
Helz	796	701	915	784	653	643
Helz2	1404	992	1392	1193	683	879
Hemgn	0	0	0	1	0	0
Hemk1	84	87	59	76	227	269
Henmt1	2	2	3	2	0	0
Hepacam	0	0	0	1	2	1
Hepacam2	1	0	0	0	2	0
Heph	574	484	789	735	1423	2217
Hephl1	3	3	1	1	187	300
Herc1	1864.14	1341.13	1905.37	1525.61	2045.41	2051.93
Herc2	3718	2835	4432	3763	2127	2180
Herc3	105	87	38	41	577	565
Herc4	935	837	840	854	775	878
Herc6	300	231	73	78	76	110
Herpud1	2030	1953	5567	5461	697	855
Herpud2	1166	1094	1283	1238	818	1006
Hes1	997	1153	329	327	252	341
Hes2	0	1	0	1	2	0
Hes3	1	0	0	1	0	0
Hes5	2	0	0	0	0	0
Hes6	279	308	178	227	322	307
Hes7	3	4	5	4	3	8
Hesx1	1	6	2	1	4	4
Hexa	3707	3968	2766	2795	3052	3776
Hexb	2091.22	2104.37	1325.74	1414.1	973.88	1172.73
Hexdc	57.42	55.85	30.16	47.47	106.47	110.35
Hexim1	980	1001	1572	1651	1881	2221
Hexim2	27	30	25	16	113	131
Hey1	152	126	135	107	23	30
Hey2	6	6	56	62	9	15
Heyl	176	165	50	50	10	14
Hfe	286	245	137	135	264	289
Hfe2	9	11	8	6	1	4
Hfm1	0	0	0	0	0	1
Hgd	1	1	2	0	1	0
Hgf	694	584	1139	1088	108	127
Hgfac	1	2	3	0	0	1
Hgh1	245	308	218	261	128	136
Hgs	1434	1417	1348	1298	1058	1156
Hgsnat	1352	1284	1712	1669	1182	1422
Hhat	219	170	101	83	75	103
Hhatl	0	2	0	1	3	2
Hhex	30	26	21	19	11	24
Hhip	14	15	2	4	2	1
Hhipl1	987	901	864	691	279	312
Hhipl2	8	5	4	8	1	0
Hhla1	0	0	0	0	0	0
Hiat1	1183	1037	1490	1396	1016	1236
Hiatl1	1411	1250	1423	1470	1014	1120
Hibadh	893	885	1078	1127	4890	5709
Hibch	272	290	423	423	2937	3719
Hic1	2458	2337	3438	3372	647	796
Hic2	57	64	69	77	64	81
Hid1	35	38	49	62	36	48
Hif1a	9640	8463	5394	5219	2121	2617
Hif1an	1032	900	886	840	846	860
Hif3a	5	1	57	43	238	265
Higd1a	705	774	570	591	1664	1934
Higd1b	2	4	7	8	1	5
Higd1c	0	0	0	0	0	0
Higd2a	441	482	438	430	785	968
Hilpda	187	184	267	267	551	549
Hils1	4	1	0	0	0	0
Hinfp	152	170	177	159	144	176
Hint1	3200	3457	2728	2783	1925	2281
Hint2	169	170	184	193	527	649
Hint3	104	108	116	136	331	348
Hip1	3023	2773	1904	1680	777	812
Hip1r	163	169	329	325	146	125
Hipk1	2867	2430	9608	8740	3589	3832
Hipk2	209.56	207.21	398.56	255.03	980.27	995.39
Hipk3	4021.79	3098.97	4212	3765	4004.88	4761.49
Hipk4	22	12	6	9	2	7
Hira	1290	1154	1041	972	595	633
Hirip3	343	406	398	378	130	163
Hist1h1a	1	1	0	2	3	4
Hist1h1b	3	4	4	4	9	13
Hist1h1c	346.47	421.01	528.41	597.54	1315.87	1543.67
Hist1h1d	5.43	8.63	3.26	3.16	32.03	29.7
Hist1h1e	1.1	3.36	4.33	4.29	24.1	29.63
Hist1h1t	0	0	0	0	0	1
Hist1h2aa	0	0	0	0	0	0
Hist1h2ab	3.82	0	0	3.59	0	3.64
Hist1h2ac	0	0	1.95	0	3.93	2.01
Hist1h2ad	0	0	0	18.28	29.13	70.19
Hist1h2ae	20.19	4.85	0	2.33	9.95	17.76
Hist1h2af	52.14	18.42	0	30.29	12.58	6.61
Hist1h2ag	0	5.43	2.42	9.75	0	0
Hist1h2ah	0	17.8	14.61	0	0	11.88
Hist1h2ai	407.37	434.47	359.84	482.89	43.89	20.92
Hist1h2ak	2.32	3.9	3.25	2.61	0	1.25
Hist1h2an	677.78	551.56	232.59	0	0	0
Hist1h2ao	1358.8	1981.72	1350.76	1479.34	181.43	222.66
Hist1h2ap	0	0	0	0	0	0
Hist1h2ba	0	0	0	0	0	0
Hist1h2bb	1.34	0	0	1.22	5.04	9.46
Hist1h2bc	182.43	254.41	480.84	438.45	1163.64	1513.02
Hist1h2be	7.77	9.23	7.72	5.34	51.93	94.39
Hist1h2bf	0	0	0	0	0	1.3
Hist1h2bg	2.25	0	20.63	29.81	20.32	34.37
Hist1h2bh	2.74	1.47	0	2.71	8.62	14.48
Hist1h2bj	0	1.27	0	8.86	8.56	8.35
Hist1h2bk	23.47	24.91	66.72	40.7	69.81	142.61
Hist1h2bl	0	7.47	0	0	41.9	24.08
Hist1h2bm	0	1.21	1.15	0	0	0
Hist1h2bn	0	0	4.18	0	0	0
Hist1h2bp	3.57	0	0	2.83	0	0
Hist1h2bq	7.71	6.51	17.37	26.53	32.58	41.47
Hist1h2br	7.71	6.51	17.37	26.53	32.58	41.47
Hist1h3a	0	3.52	1.61	1.71	0	2.82
Hist1h3b	7.87	13.73	4.27	0	3.57	2.62
Hist1h3c	3.84	8	3.49	3.56	2.11	0
Hist1h3d	0	13.33	11.65	6.06	25.7	20.5
Hist1h3e	4.42	0	0	0	9.73	16.15
Hist1h3f	2.79	0	0	1.7	2.67	5.78
Hist1h3g	5.93	3.95	0	1.43	3.9	7.09
Hist1h3h	0	3.76	3.32	1.25	0	0
Hist1h3i	1.1	0	2.56	0	3.1	8.93
Hist1h4a	0	0	0	0	4.59	4.6
Hist1h4b	4.28	10.66	0	1.22	0	0
Hist1h4c	0	1.75	1.29	0	3.21	1.62
Hist1h4d	0	2.18	0	0	0	3.45
Hist1h4f	0	1.25	3.79	0	1.25	0
Hist1h4h	4.36	9.34	9.46	11.08	502.98	593.54
Hist1h4i	27.36	29.2	42.94	46.48	70.74	91.52
Hist1h4j	0	0	0	0	0	0.33
Hist1h4k	0	1.63	1.26	0	3.22	0
Hist1h4m	0	0	0	0	0	0
Hist1h4n	0	3.98	2.27	1.23	0	3.95
Hist2h2aa1	148.17	156.74	188.63	154.07	1001.78	1417.95
Hist2h2aa2	0	12.11	12.25	13.03	0	0
Hist2h2ab	0	0	0	2.16	2.17	2.19
Hist2h2ac	0	1.29	1.32	0	0	0
Hist2h2bb	1	1	1	3	0	1
Hist2h2be	64	44	47	30	88	102
Hist2h3b	3.36	18.06	0	0	3.41	0
Hist2h3c1	34.68	0	0	38.3	39.35	117.89
Hist2h3c2	0	16.65	45.09	0	33.46	5.21
Hist2h4	1	2	0	1	1	0
Hist3h2a	145.91	128.46	111.33	113.05	79.9	125.72
Hist3h2ba	1	0	0	0	0	0
Hist3h2bb-ps	1	1	0	0	0	0
Hist4h4	0	0	0	0	0	0
Hivep1	658	596	640	534	604	739
Hivep2	967	881	626	582	622	738
Hivep3	271	212	435	346	101	105
Hjurp	757.59	630.8	773.76	671.79	434.67	485.92
Hk1	2794	2489	1359	1304	2184	2124
Hk1os	3	2	1	3	4	5
Hk2	2166	1853	1412	1463	7395	6727
Hk3	264	169	95	88	138	158
Hkdc1	1	2	0	0	1	3
Hlcs	256	194	375	388	352	434
Hlf	51	42	15	14	25	21
Hltf	691	633	631	604	529	565
Hlx	52	67	92	82	70	85
Hmbox1	310	240	364	295	326	262
Hmbs	699	690	561	571	1187	1358
Hmces	383	346	251	225	187	215
Hmcn1	35	25	118	78	9	16
Hmg20a	765	744	906	951	775	761
Hmg20b	687	812	629	606	683	836
Hmga1	523.51	582.93	383.08	437.56	649.79	667.15
Hmga1-rs1	481.49	470.07	432.92	446.44	657.21	903.85
Hmga2	271.68	294.17	220.8	238.77	313.9	354.8
Hmga2-ps1	67.32	69.83	33.2	26.24	92.1	97.2
Hmgb1	7767	7840.9	6031.93	6227.93	2814	3258.86
Hmgb1-rs17	0	1.07	1.07	1.07	0	2.14
Hmgb2	2097	1993	2051	2210	311	433
Hmgb3	481	396	240	239	890	1030
Hmgb4	0	0	0	0	0	0
Hmgb4os	0	0	0	0	0	0
Hmgcl	464	494	440	460	820	936
Hmgcll1	3	6	1	2	1	0
Hmgcr	2782	2113	4589	4428	820	1133
Hmgcs1	6749	5763	9748	9905	9167	11030
Hmgcs2	0	2	26	32	61	89
Hmgn1	6268	6089	4384	4498	2194	2669
Hmgn2	5141	5242	6682	7078	1343	1654
Hmgn3	377	473	798	785	370	457
Hmgn5	285	335	630	627	510	597
Hmgxb3	1001	840	899	837	625	783
Hmgxb4	563	460	467	472	307	310
Hmha1	184	195	119	137	66	78
Hmmr	1072	990	1350	1375	95	146
Hmox1	3377	3559	6604	6973	6113	6260
Hmox2	846.58	879.8	676.66	654.8	1050.39	1108.23
Hmx1	1	0	0	0	0	0
Hmx2	0	0	0	0	0	0
Hmx3	1	2	6	4	0	0
Hn1	2429	2537	1153	1234	1324	1561
Hn1l	1564.98	1394	1071	1070.98	250	275
Hnf1a	1	0	0	0	0	0
Hnf1b	0	0	1	0	0	0
Hnf4a	0	0	0	0	0	0
Hnf4aos	0	0	0	0	0	0
Hnf4g	0	0	0	0	0	0
Hnmt	16	11	13	15	55	65
Hnrnpa0	7455	6679	5607	5764	2896	3219
Hnrnpa1	5244.51	5825.17	3155.98	3242.57	1556.9	2008.97
Hnrnpa2b1	14545	13693	11841	11994	7517	8631
Hnrnpa3	3358.02	3447.65	3244.16	3283.33	1504.45	1772.55
Hnrnpab	12838.98	12207	8066	8100	4767	5325
Hnrnpc	5492	5073	4843	5161	2827	3143
Hnrnpd	3315	3275	1538	1439	1331	1453
Hnrnpdl	2137	2102	1558	1566	960	1089
Hnrnpf	9827	8497.01	7626.59	7560.79	5047.96	5860
Hnrnph1	6432	5919	4361	4465	1900	2331
Hnrnph2	2332	2186	2353	2434	1603	1910
Hnrnph3	480.63	500.07	271.93	295.62	206.37	219.49
Hnrnpk	12331.95	11079.94	10074.62	10295.43	7645.79	9080.41
Hnrnpl	5357	4902	3865	3702	2811	3497
Hnrnpll	2249	1978	1439	1500	1248	1346
Hnrnpm	8310	7773	4834	5012	2432	2888
Hnrnpr	2594	2389	2351	2300	1200	1364
Hnrnpu	15021	13587	11167	11019	7837	8304
Hnrnpul1	3382	3197	2763	2520	1935	2106
Hnrnpul2	6532	5891	4597	4538	3547	3643
Hoga1	50	52	20	16	74	86
Homer1	285	261	332	304	278	276
Homer2	32	31	17	8	253	242
Homer3	1136.05	1176.86	499.09	545.35	384.69	399.97
Homez	102	89	222	224	172	211
Hook1	8	9	6	13	47	40
Hook2	261	285	170	172	104	91
Hook3	2458	1887	2489	2245	1741	1876
Hopx	23	15	13	16	62	57
Hormad1	0	0	0	0	1	0
Hormad2	0	0	1	0	5	4
Hotair	4	6	3	3	1	3
Hotairm1	16	14	6	3	28	24
Hottip	1	0	0	0	0	0
Hoxa1	62	88	45	62	47	46
Hoxa10	417	392	326	380	341	354
Hoxa11	13.03	14	14.69	11.13	13	6.54
Hoxa11os	4.97	0	5.31	6.87	0	4.46
Hoxa13	0	0	1	1	0	0
Hoxa2	21	24	22	20	16	26
Hoxa3	80.46	98.44	69.94	69.75	64.65	66.16
Hoxa4	46	49	13	21	60	69
Hoxa5	91	121	129	87	92	127
Hoxa6	15	13	16	12	4	14
Hoxa7	90	92	45	63	88	96
Hoxa9	228	270	321	321	546	650
Hoxaas2	16.54	10.56	9.06	12.25	10.35	10.84
Hoxaas3	7	4	9	10	5	5
Hoxb1	0	0	0	0	0	0
Hoxb13	1	2	0	0	0	0
Hoxb2	266	261	155	183	116	114
Hoxb3	205	202	149	147	118	134
Hoxb4	174	262	184	221	203	255
Hoxb5	44	64	27	34	19	22
Hoxb5os	11	9	8	4	1	2
Hoxb6	173	142	102	95	58	88
Hoxb7	300	304	150	140	140	129
Hoxb8	104	122	71	60	145	196
Hoxb9	428	439	185	171	56	39
Hoxc10	740	826	713	741	519	688
Hoxc11	51	36	40	31	15	15
Hoxc12	3	1	1	3	2	2
Hoxc13	135	127	146	136	18	30
Hoxc4	110	150	96	83	39	58
Hoxc5	141	136	124	91	59	51
Hoxc6	481	557	744	728	369	438
Hoxc8	792	923	547	535	628	780
Hoxc9	470	547	421	385	193	242
Hoxd1	0	0	0	0	0	0
Hoxd10	4	5	14	14	7	7
Hoxd11	0	2	0	0	0	0
Hoxd12	0	0	0	0	0	0
Hoxd13	1	0	0	0	0	0
Hoxd3	16	19	27	31	9	7
Hoxd3os1	1	1	1	0	2	1
Hoxd4	28	41	30	38	32	47
Hoxd8	322	339	402	387	159	187
Hoxd9	33	29	59	61	23	27
Hp	865	914	1252	1159	15428	16220
Hp1bp3	4121	4075	3943	3822	2776	3126
Hpca	1	1	5	3	5	14
Hpcal1	480.36	471.52	281.49	280	230.93	237.93
Hpcal4	0	0	0	0	0	0
Hpd	0	0	0	0	1	3
Hpdl	14	8	17	8	306	382
Hpgd	93	114	19	15	213	277
Hpgds	41	43	16	33	75	89
Hpn	6	4	2	1	5	7
Hprt	1917	1536	1307	1364	2559	2910
Hps1	658	628	511	530	384	424
Hps3	342.76	288.44	340.85	325.71	322.27	349.53
Hps4	344	285	243	257	203	233
Hps5	893	805	772	752	548	596
Hps6	309	288	207	187	150	185
Hpse	520	428	433	417	366	366
Hpse2	0	0	0	0	0	0
Hpx	21	20	14	16	33	46
Hr	703	717	194	171	513	583
Hras	882	878	571	549	699	961
Hrasls	3	1	0	0	0	0
Hrasls5	0	0	0	0	10	7
Hrc	17	13	10	5	6	3
Hrct1	31	38	123	119	412	479
Hrg	0	0	0	0	0	0
Hrh1	4	1	1	1	2	2
Hrh2	7	8	2	0	2	5
Hrh3	0	0	0	0	1	0
Hrh4	0	0	0	0	0	0
Hrk	2	0	1	0	5	7
Hrnr	1	0	0	0	0	0
Hrsp12	191	218	284	285	236	261
Hs1bp3	563	593	466	479	401	466
Hs2st1	1661	1422	1660	1671	728	792
Hs3st1	26	27	309	259	30	47
Hs3st2	1	0	0	0	0	0
Hs3st3a1	47.84	47.09	31.58	34.79	24.67	26.61
Hs3st3b1	65.23	35.29	155.09	158.47	18.33	26.79
Hs3st4	1	0	1	2	0	0
Hs3st5	0	0	0	0	0	0
Hs3st6	2	2	4	6	16	31
Hs6st1	2626	2281	927	925	741	798
Hs6st2	1258	1180	205	200	42	50
Hs6st3	2	0	1	4	1	0
Hsbp1	1478	1361	1179	1188	1570	1984
Hsbp1l1	5	0	0	1	0	2
Hscb	120	156	163	180	186	226
Hsd11b1	157	144	86	86	1336	1777
Hsd11b2	3	9	19	12	215	298
Hsd17b1	28	38	28	20	8	16
Hsd17b10	804	913	706	691	1669	1979
Hsd17b11	675	740	1029	1050	1598	2290
Hsd17b12	2173	2055	2126	2108	15476	21423
Hsd17b13	1	4	1	0	1	1
Hsd17b14	4	3	2	1	23	17
Hsd17b2	0	0	0	0	0	0
Hsd17b3	0	0	0	0	0	0
Hsd17b4	1782	1730	1608	1577	11630	13399
Hsd17b6	0	0	0	0	0	0
Hsd17b7	1101	938	3046	2950	1073	1234
Hsd3b1	0	0	0	0	0	0
Hsd3b2	0	0	0	1.32	1	0
Hsd3b3	0	1	3	2.68	2	0
Hsd3b4	0	0	0	0	0	3
Hsd3b5	0	0	0	0	0	0
Hsd3b6	1	1	0	0	0	0
Hsd3b7	449	480	309	270	1623	1912
Hsdl1	322	289	194	190	333	399
Hsdl2	312	308	405	411	3322	4151
Hsf1	450	465	545	552	257	334
Hsf2	338	340	542	502	302	339
Hsf2bp	4	3	5	5	2	2
Hsf3	2	1	3	0	2	13
Hsf4	33	41	8	11	19	32
Hsf5	2	0	1	0	2	1
Hsfy2	0	1	0	0	0	0
Hsh2d	0	0	1	1	1	1
Hsp90aa1	17846	18384	10756	11059	9699	11139
Hsp90ab1	44663.98	43854.98	31925.97	32529.94	20774	23381.93
Hsp90b1	37775	34581	85273	85056	14043	16557
Hspa12a	241	252	517	471	491	619
Hspa12b	203	219	50	46	71	105
Hspa13	1653	1352	2148	2107	602	697
Hspa14	1162	1038	1137	1210	877	948
Hspa1a	398.05	457.85	158.52	161.77	198.49	207.79
Hspa1b	2300.55	2047.61	796.6	710.19	489.51	559.76
Hspa1l	38.39	33.54	49.88	59.04	38	53.44
Hspa2	221	228	339	332	136	189
Hspa4	8792	7976	5090	5248	5278	6223
Hspa4l	300	273	160	169	388	368
Hspa5	30479	28492	99940	101750	13920	16928
Hspa8	35157	36722	39400	39559	37676	44771
Hspa9	20103	20149	9585	9436	29955	30578
Hspb1	1938	1672	659	762	1625	1490
Hspb11	168	159	163	171	115	127
Hspb2	85.64	86.37	28.38	34.38	45.14	41.41
Hspb3	3	3	0	0	0	0
Hspb6	173	194	84	78	245	313
Hspb7	606	610	33	26	1169	867
Hspb8	2027	1940	1972	2044	2002	2236
Hspb9	4	4	3	3	2	4
Hspbap1	200	178	147	126	97	78
Hspbp1	530	509	224	210	290	335
Hspd1	9409	9033	7731	7751	14005	16066
Hspe1	2519	2712	2347	2460	2440	3039
Hspg2	41829	33573	25434	21105	14707	15729
Hsph1	2250	1974	3744	3736	1468	1421
Htatip2	962	945	728	798	1170	1258
Htatsf1	1442	1318	1122	1251	1019	1162
Htr1a	0	0	0	0	0	0
Htr1b	11	9	6	2	2	4
Htr1d	5	2	0	0	0	1
Htr1f	1	2	0	0	0	0
Htr2a	182	144	52	52	18	22
Htr2b	11	3	8	14	3	2
Htr2c	0	0	0	0	0	0
Htr3a	0	0	0	0	0	0
Htr3b	0	1	0	0	0	0
Htr4	0	0	0	0	0	0
Htr5a	1	0	0	1	0	0
Htr5b	0	1	1	2	0	0
Htr6	0	2	1	2	1	1
Htr7	4	1	1	1	0	0
Htra1	2955	3232	2889	2999	3257	3516
Htra2	1133.22	1045.05	741.49	723.05	513.09	595.09
Htra3	893	982	587	562	4740	5740
Htra4	48	35	35	56	11	32
Htt	1444	1244	1405	1248	961	1146
Hunk	36	25	37	40	12	13
Hus1	314	245	260	233	153	193
Hus1b	3	0	0	1	1	1
Huwe1	8384	6678	9063	7334	5449	6072
Hvcn1	408.14	436.14	50.49	67.02	160.05	264.87
Hyal1	91	64	95	118	120	105
Hyal2	396	350	474	488	471	649
Hyal3	8.14	4.03	2.02	5.02	8.09	15.14
Hyal4	0	0	0	0	0	0
Hyal5	0	0	0	0	0	0
Hyal6	0	0	0	0	0	2
Hydin	2	3	2	3	4	4
Hyi	300	361	227	242	170	164
Hykk	206	168	162	157	111	144
Hyls1	171	186	153	150	105	132
Hymai	1.03	0	1.01	0	1	0
Hyou1	5222	4390	25387	24300	1513	1678
Hypk	1512	1720	842	868	788	855
Hypm	0	0	0	0	0	0
I730028E13Rik	2	1	0	0	0	0
I730030J21Rik	0	0	0	0	0	0
I830077J02Rik	1	0	1	0	3	6
Iah1	742.3	759.12	700.78	695.56	930.59	1131.68
Iapp	0	0	0	0	0	0
Iars	5027	4493	3051	2799	1944	2257
Iars2	1573	1354.65	1460.71	1407	3197.84	3962.96
Iba57	145	124	83	75	374	372
Ibsp	1	0	0	1	0	0
Ibtk	2526	2254	3268	3213	1466	1585
Ica1	58	79	41	33	21	26
Ica1l	10	14	2	0	14	8
Icam1	1116	1036	907	932	216	286
Icam2	41	53	16	18	32	36
Icam4	9	7	2	3	3	5
Icam5	64	46	58	57	14	20
Ice1	1944	1538	2033	1742	913	1084
Ice2	327	244	332	359	185	229
Ick	822	833	1117	1005	685	886
Icmt	1628	1459	1850	1859.99	1108	1332
Icos	3	2	2	0	0	0
Icosl	85	97	117	129	84	67
Ict1	420	497	299	286	481	626
Id1	1264	1291	1272	1194	474	463
Id2	1274	1339	2293	2427	421	502
Id3	5886	6046	9168	9419	2026	2273
Id4	916	910	682	676	196	222
Ide	1372	1139	1448	1424	1323	1520
Idh1	3381	3184	6919	7182	12329	14646
Idh2	1893	1919	1040	1065	1596	1661
Idh3a	1068	1029	1117	1204	14382	17366
Idh3b	1263	1275	1190	1187	7920	9422
Idh3g	933	1023	1141	1158	5031	5725
Idi1	2549	2292	6453	6734	1173	1405
Idi2	0	0	0	1	0	0
Idnk	224	250	192	178	323	415
Ido1	2	2	0	0	1	3
Ido2	6	7	2	1	6	1
Ids	973	855	1480	1588	533	708
Idua	303	257	344	304	285	374
Ier2	1954	2008	1752	1758	1964	2189
Ier3	1010	964	383	398	600	675
Ier3ip1	1170	1062	712	728	669	839
Ier5	2317	2009	1071	1071	729	790
Ier5l	1175	1280	1084	1120	282	335
Iffo1	485	494	439	418	208	256
Iffo2	1265	1088	1063	1013	796	903
Ifi202b	0	0	1	1	0	0
Ifi203	448.91	413.25	304.43	331.15	380.42	632.23
Ifi204	2135.66	2073.96	5862.97	6006.39	1965.94	2451.98
Ifi205	396.26	485.44	3352.48	3467.97	1709.74	2652.35
Ifi27	2812.99	2901.99	1299.99	1452	6893.98	8035.97
Ifi27l2a	318.01	347.01	65.01	53	323.02	387.03
Ifi27l2b	18	17	1	0	25	30
Ifi30	491	503	156	169	511	666
Ifi35	607	671	352	385	326	431
Ifi44	158	114	10	13	19	60
Ifi44l	0	0	0	0	0	0
Ifi47	261.86	216.99	28.97	42.98	47	75
Ifih1	700	561	340	368	404	525
Ifit1	566.94	444.47	27.89	40.96	124.68	342.76
Ifit1bl1	27.85	9	7	3	3.48	10
Ifit1bl2	2.21	10.53	2.11	2.04	5.84	7.24
Ifit2	605	560	171	164	265	402
Ifit3	540.23	531.05	20.3	45.25	120.97	273.85
Ifit3b	103.77	74.95	2.7	3.75	8.03	55.15
Ifitm1	2	4	11	4	9	12
Ifitm10	10	6	8	6	2	1
Ifitm2	1062.18	1312.21	3595.84	3478	1501	2096
Ifitm3	4886.82	5067.79	5099.16	5359	2190	2908
Ifitm5	3	4	11	6	5	4
Ifitm6	3	1	1	2	4	8
Ifitm7	0	0	0	0	0	0
Ifltd1	0	0	0	0	1	0
Ifna1	0	0	0	0	0	0
Ifna11	0	0	0	0	0	0
Ifna12	0	0	0	0	0	0
Ifna13	0	0	0	0	0	0
Ifna14	0	0	0	0	0	0
Ifna15	0	0	0	0	0	0
Ifna16	0	0	0	0	0	0
Ifna2	0	0	0	0	0	0
Ifna4	0	0	0	0	0	0
Ifna5	1	0	0	0	0	0
Ifna6	0	0	0	0	0	0
Ifna7	0	0	0	0	0	0
Ifna9	0	0	0	0	0	0
Ifnab	0	0	0	0	0	0
Ifnar1	2033	1724	2980	2866	1044	1388
Ifnar2	1391	1356	1697	1681	815	970
Ifnb1	0	0	0	0	0	0
Ifne	0	0	0	0	0	0
Ifng	0	0	0	0	0	0
Ifngr1	1207	1134	1913	1974	3790	4755
Ifngr2	1101	917	959	843	828	1184
Ifnk	0	0	0	0	0	0
Ifnl2	0	0	0	0	0	0
Ifnl3	0	0	0	0	0	0
Ifnlr1	2	2	2	0	0	1
Ifnz	0	13.16	4.79	2.85	4.4	2.97
Ifrd1	1997	1804	1387	1528	1842	1875
Ifrd2	626	512	492	508	336	392
Ift122	526	502	709	704	172	229
Ift140	479	482	720	701	372	360
Ift172	1150	981	1064	1036	686	754
Ift20	1068	902	866	946	671	715
Ift22	174	234	195	180	123	155
Ift27	286	326	256	267	174	203
Ift43	394	410	191	190	215	225
Ift46	707	715	550	652	441	507
Ift52	654	678	473	484	506	585
Ift57	289	248	361	377	149	205
Ift74	398	429	421	442	234	276
